timestamps,TP9,AF7,AF8,TP10,Interest
1624483958.3879998,-38.086,37.598,-35.645,-41.992,2
1624483958.3920002,-24.414,-187.012,-34.18,-30.273000000000003,2
1624483958.3960001,-9.277000000000001,-431.152,-35.156,-4.395,2
1624483958.4,-23.926,-155.762,-24.414,-18.066,2
1624483958.404,-36.621,69.336,-29.296999999999997,-47.363,2
1624483958.408,-32.227,-245.11700000000002,-41.992,-45.41,2
1624483958.4120002,-20.508000000000003,-37.109,-32.715,-21.484,2
1624483958.4160001,-22.461,407.227,-34.18,-18.555,2
1624483958.42,-29.785,247.07,-40.527,-38.086,2
1624483958.424,-30.761999999999997,-72.266,-36.621,-49.805,2
1624483958.427,-24.901999999999997,-98.145,-27.344,-36.621,2
1624483958.431,-18.555,61.523,-26.855,-20.508000000000003,2
1624483958.435,-34.668,182.61700000000002,-38.574,-50.293,2
1624483958.439,-41.016000000000005,-311.52299999999997,-56.641000000000005,-72.75399999999999,2
1624483958.4429998,-29.296999999999997,-614.258,-35.156,-45.41,2
1624483958.447,-21.484,195.312,-16.113,-19.043,2
1624483958.451,-25.879,400.879,-37.598,-33.203,2
1624483958.455,-35.645,-155.762,-39.551,-53.223,2
1624483958.4589999,-32.227,-168.945,-27.831999999999997,-40.527,2
1624483958.4629998,-23.438000000000002,234.863,-36.621,-19.043,2
1624483958.466,-30.273000000000003,123.535,-38.574,-19.043,2
1624483958.47,-34.668,-274.902,-24.901999999999997,-34.668,2
1624483958.474,-34.668,-154.297,-20.508000000000003,-40.039,2
1624483958.478,-27.344,268.555,-29.785,-13.672,2
1624483958.482,-10.742,241.21099999999998,-43.457,10.742,2
1624483958.486,-18.066,-333.00800000000004,-51.27,-7.324,2
1624483958.49,-20.508000000000003,-422.852,-38.574,-26.855,2
1624483958.494,-2.441,203.613,-28.809,-9.277000000000001,2
1624483958.498,0.488,372.07,-42.48,8.301,2
1624483958.502,-11.719000000000001,-433.105,-57.617,-6.836,2
1624483958.506,-23.438000000000002,-339.844,-35.645,-29.296999999999997,2
1624483958.5089998,-22.461,200.68400000000003,-26.855,-21.973000000000003,2
1624483958.5129998,-14.648,185.05900000000003,-34.18,1.465,2
1624483958.5170002,-27.344,-58.593999999999994,-38.574,-17.578,2
1624483958.5210001,-45.898,-179.688,-41.992,-45.41,2
1624483958.525,-37.109,-288.086,-41.016000000000005,-40.527,2
1624483958.529,-17.578,-127.441,-27.831999999999997,-11.23,2
1624483958.533,-22.949,-53.711000000000006,-29.785,-2.93,2
1624483958.5370002,-39.551,-216.30900000000003,-44.434,-29.785,2
1624483958.5410001,-44.434,52.246,-41.016000000000005,-41.016000000000005,2
1624483958.545,-35.645,3.906,-44.434,-21.484,2
1624483958.549,-26.855,-335.449,-25.879,-3.418,2
1624483958.552,-38.086,62.012,-28.809,-22.949,2
