timestamps,TP9,AF7,AF8,TP10,Interest
1624491963.103,-39.551,-141.113,-521.9730000000001,-46.875,3
1624491963.106,-19.531,9.766,-423.82800000000003,-20.996,3
1624491963.11,-11.23,134.766,-364.25800000000004,-7.812,3
1624491963.1139998,-18.555,-287.10900000000004,-597.656,-23.438000000000002,3
1624491963.1179998,-29.785,-249.512,-599.609,-35.645,3
1624491963.1220002,-16.113,264.64799999999997,-367.18800000000005,-14.648,3
1624491963.1260002,6.348,199.21900000000002,-358.398,6.348,3
1624491963.13,-6.348,96.191,-424.805,-4.883,3
1624491963.1339998,-19.043,53.711000000000006,-465.332,-30.273000000000003,3
1624491963.1379998,-12.207,157.715,-367.18800000000005,-15.625,3
1624491963.1420002,-2.441,143.555,-342.773,12.207,3
1624491963.145,-4.395,72.75399999999999,-404.29699999999997,-3.906,3
1624491963.149,-15.625,-6.836,-501.95300000000003,-24.414,3
1624491963.1529999,-7.324,-120.605,-548.828,-30.761999999999997,3
1624491963.157,11.719000000000001,-131.836,-529.297,0.977,3
1624491963.161,2.441,-138.184,-520.996,16.113,3
1624491963.165,-18.555,154.785,-409.668,-13.184000000000001,3
1624491963.169,-19.043,131.836,-495.11699999999996,-22.949,3
1624491963.1729999,-6.836,83.008,-393.066,-4.883,3
1624491963.177,-2.93,268.555,-254.88299999999998,2.93,3
1624491963.181,-15.625,102.051,-425.781,-13.184000000000001,3
1624491963.185,-19.531,-153.809,-570.312,-26.855,3
1624491963.188,-11.719000000000001,-3.906,-449.219,-16.113,3
1624491963.1920002,-5.859,286.133,-259.277,-4.395,3
1624491963.196,-20.996,166.50400000000002,-368.652,-16.113,3
1624491963.2,-30.273000000000003,-203.125,-596.68,-29.296999999999997,3
1624491963.204,-23.438000000000002,-416.99199999999996,-645.02,-22.949,3
1624491963.208,-11.719000000000001,-9.277000000000001,-422.852,-7.324,3
1624491963.2120001,-5.371,434.57,-251.465,0.977,3
1624491963.216,-26.855,-16.113,-506.836,-31.738000000000003,3
1624491963.22,-34.18,-177.734,-570.312,-44.922,3
1624491963.224,-15.137,215.82,-315.43,-17.578,3
