timestamps,TP9,AF7,AF8,TP10,Interest
1624481670.676,4.395,44.922,-14.16,29.785,3
1624481670.68,-0.977,-268.066,-18.555,20.508000000000003,3
1624481670.6829998,-8.301,-256.348,-15.137,-25.391,3
1624481670.687,-9.766,75.195,-19.531,-38.086,3
1624481670.691,0.977,-164.062,-19.531,6.836,3
1624481670.695,3.906,-552.246,-29.296999999999997,37.109,3
1624481670.699,-4.883,-155.762,-34.668,-17.09,3
1624481670.7029998,-8.301,-211.91400000000002,-25.879,-43.457,3
1624481670.707,0.488,-294.434,-28.32,-4.395,3
1624481670.711,-4.395,97.16799999999999,-35.645,31.25,3
1624481670.715,-27.831999999999997,179.199,-33.691,-1.953,3
1624481670.7189999,-23.438000000000002,-44.922,-35.645,-43.945,3
1624481670.7220001,-15.137,-201.172,-37.598,-35.645,3
1624481670.726,-27.831999999999997,-192.38299999999998,-38.574,2.93,3
1624481670.73,-26.366999999999997,-226.562,-46.387,6.348,3
1624481670.734,-18.555,-343.26199999999994,-41.992,-26.366999999999997,3
1624481670.738,-28.32,-725.586,-26.366999999999997,-29.296999999999997,3
1624481670.742,-55.176,-403.809,-34.668,-11.719000000000001,3
1624481670.746,-68.848,250.488,-43.945,-23.926,3
1624481670.75,-71.777,-166.016,-34.668,-64.453,3
1624481670.754,-68.359,-286.621,-36.133,-71.777,3
1624481670.758,-70.312,-40.039,-43.457,-34.668,3
1624481670.762,-61.035,116.699,-35.156,-12.695,3
1624481670.765,-54.688,-19.531,-31.738000000000003,-45.898,3
1624481670.769,-53.223,-253.90599999999998,-33.691,-71.289,3
1624481670.7729998,-26.855,-265.137,-19.043,-17.578,3
1624481670.7770002,-5.371,-25.879,-20.508000000000003,33.691,3
1624481670.7810001,-3.906,-123.04700000000001,-21.484,8.789,3
1624481670.785,-4.395,-665.5269999999999,-12.207,-26.855,3
1624481670.789,-5.859,-118.164,-12.695,-5.859,3
1624481670.793,-0.977,336.426,-8.301,41.992,3
1624481670.7970002,-0.977,45.898,-6.348,24.414,3
1624481670.801,-12.695,-104.98,-18.555,-28.32,3
1624481670.805,-10.254000000000001,112.305,-19.043,-15.625,3
1624481670.8079998,3.906,236.81599999999997,-18.555,43.457,3
1624481670.812,0.488,40.527,-16.602,48.34,3
1624481670.816,-16.113,-250.0,-13.184000000000001,-13.672,3
1624481670.82,-21.973000000000003,-337.89099999999996,-17.09,-28.32,3
1624481670.824,-8.789,-174.31599999999997,-23.926,18.555,3
1624481670.8279998,-1.465,-499.023,-19.531,39.551,3
1624481670.832,-16.113,-558.105,-14.648,-3.906,3
1624481670.836,-22.461,57.617,-29.296999999999997,-36.621,3
1624481670.84,-15.625,83.984,-31.25,5.859,3
1624481670.8439999,-13.672,32.227,-28.32,34.18,3
1624481670.8470001,-25.391,154.297,-41.016000000000005,-5.371,3
1624481670.851,-33.203,100.586,-52.246,-54.199,3
1624481670.855,-28.809,-102.051,-52.733999999999995,-38.086,3
1624481670.859,-28.809,-31.738000000000003,-47.363,4.395,3
1624481670.863,-36.621,168.457,-47.363,-11.23,3
1624481670.867,-44.922,-146.484,-50.781000000000006,-62.988,3
1624481670.871,-43.945,-583.496,-48.34,-73.242,3
1624481670.875,-28.809,-405.273,-40.039,-29.785,3
1624481670.879,-30.273000000000003,150.391,-40.527,-13.184000000000001,3
1624481670.883,-47.363,211.91400000000002,-57.129,-58.593999999999994,3
1624481670.887,-40.527,-410.645,-57.129,-74.707,3
1624481670.89,-24.901999999999997,-673.828,-45.898,-28.809,3
1624481670.894,-17.09,119.141,-42.48,14.648,3
1624481670.8979998,-22.949,171.387,-37.109,-14.648,3
1624481670.9020002,-30.761999999999997,-223.63299999999998,-39.551,-55.176,3
1624481670.9060001,-23.926,-146.97299999999998,-41.504,-26.366999999999997,3
1624481670.91,-17.09,97.656,-40.039,21.973000000000003,3
1624481670.914,-21.484,-114.74600000000001,-40.527,3.906,3
1624481670.918,-22.461,-564.453,-41.992,-48.34,3
1624481670.9220002,-14.648,-462.89099999999996,-30.273000000000003,-25.879,3
1624481670.926,-8.301,46.387,-17.09,27.831999999999997,3
1624481670.93,-13.672,3.418,-23.926,13.184000000000001,3
1624481670.9329998,-17.09,-636.719,-27.831999999999997,-34.18,3
1624481670.937,-26.366999999999997,-487.793,-11.719000000000001,-43.945,3
1624481670.941,-30.273000000000003,242.188,-16.113,-8.301,3
1624481670.945,-24.901999999999997,100.098,-44.434,19.043,3
1624481670.949,-33.203,-214.355,-53.711000000000006,-30.273000000000003,3
1624481670.9529998,-37.109,-55.176,-56.152,-57.129,3
1624481670.957,-24.414,133.30100000000002,-52.733999999999995,-23.926,3
1624481670.961,-21.973000000000003,-182.61700000000002,-48.34,3.906,3
1624481670.965,-31.25,-661.133,-53.223,-49.805,3
1624481670.9689999,-38.574,-273.926,-60.059,-91.79700000000001,3
1624481670.9720001,-26.366999999999997,127.93,-58.105,-56.641000000000005,3
1624481670.976,-22.461,-46.387,-57.617,-18.066,3
1624481670.98,-43.457,-104.00399999999999,-59.082,-48.34,3
1624481670.984,-50.293,4.883,-58.593999999999994,-100.098,3
1624481670.988,-41.504,-229.00400000000002,-62.988,-86.914,3
1624481670.992,-37.109,-232.422,-52.246,-40.039,3
1624481670.996,-38.086,44.434,-38.574,-30.761999999999997,3
1624481671.0,-40.527,56.641000000000005,-42.48,-68.359,3
1624481671.004,-47.852,-62.012,-54.688,-78.613,3
1624481671.008,-41.016000000000005,-213.86700000000002,-60.059,-35.645,3
1624481671.012,-32.715,-287.10900000000004,-44.922,1.465,3
1624481671.015,-41.016000000000005,-231.93400000000003,-39.062,-37.598,3
1624481671.019,-38.574,-170.898,-43.457,-67.87100000000001,3
1624481671.0229998,-26.855,-451.66,-40.527,-23.926,3
1624481671.0270002,-24.414,-186.035,-33.691,13.184000000000001,3
1624481671.0310001,-35.645,229.49200000000002,-35.156,-16.113,3
1624481671.035,-32.227,-130.371,-30.761999999999997,-54.688,3
1624481671.039,-17.578,-252.93,-28.32,-37.598,3
1624481671.043,-18.555,-90.82,-36.133,9.277000000000001,3
1624481671.0470002,-27.831999999999997,-22.461,-33.203,-9.766,3
1624481671.051,-28.32,-153.32,-18.555,-49.805,3
1624481671.055,-28.32,-454.102,-29.785,-42.968999999999994,3
1624481671.0579998,-28.809,-218.262,-42.48,-4.395,3
1624481671.062,-30.761999999999997,209.96099999999998,-30.273000000000003,1.465,3
1624481671.066,-41.016000000000005,-223.63299999999998,-35.645,-44.922,3
1624481671.07,-38.574,-739.258,-42.968999999999994,-53.223,3
1624481671.074,-32.227,-56.641000000000005,-41.992,-9.277000000000001,3
1624481671.0779998,-26.855,284.18,-30.761999999999997,15.625,3
1624481671.082,-24.901999999999997,-111.816,-29.785,-39.062,3
1624481671.086,-21.973000000000003,-212.891,-42.48,-76.66,3
1624481671.09,-4.395,65.918,-43.457,-3.418,3
1624481671.0939999,-2.441,200.68400000000003,-39.551,30.273000000000003,3
1624481671.0979998,-23.926,-77.637,-36.133,-39.062,3
1624481671.101,-42.48,-431.64099999999996,-45.898,-95.215,3
1624481671.105,-41.016000000000005,-438.477,-53.223,-70.312,3
1624481671.109,-16.602,-214.355,-52.246,-12.207,3
1624481671.113,-23.438000000000002,-591.797,-54.688,-24.901999999999997,3
1624481671.117,-37.109,-645.508,-54.688,-83.49600000000001,3
1624481671.121,-20.02,4.883,-42.48,-76.172,3
1624481671.125,-16.113,66.895,-44.922,-23.926,3
1624481671.129,-27.831999999999997,-19.043,-47.852,-11.23,3
1624481671.133,-28.809,5.859,-49.316,-59.082,3
1624481671.137,-20.508000000000003,-0.977,-45.41,-73.242,3
1624481671.14,-17.578,-68.848,-31.738000000000003,-25.879,3
1624481671.144,-10.254000000000001,-91.309,-36.133,5.371,3
