timestamps,TP9,AF7,AF8,TP10,Interest
1624481109.62,-5.859,259.277,-21.973000000000003,4.883,2
1624481109.6239998,-14.16,-351.074,5.371,-6.836,2
1624481109.6279998,-14.16,-373.535,-23.926,-11.23,2
1624481109.6320002,-8.301,209.96099999999998,-53.711000000000006,-3.906,2
1624481109.635,-17.578,247.55900000000003,-52.246,-10.254000000000001,2
1624481109.639,-28.809,-385.74199999999996,-39.551,-33.203,2
1624481109.643,-25.391,-265.625,-37.109,-46.875,2
1624481109.647,-23.926,256.836,-25.879,-32.227,2
1624481109.651,-27.831999999999997,56.152,-20.508000000000003,-21.484,2
1624481109.655,-32.227,-202.637,-17.09,-31.738000000000003,2
1624481109.659,-29.296999999999997,-69.336,-13.184000000000001,-34.668,2
1624481109.6629999,-20.02,153.809,-25.879,-35.645,2
1624481109.667,-19.531,88.37899999999999,-30.273000000000003,-32.715,2
1624481109.671,-27.831999999999997,-312.5,-32.227,-41.992,2
1624481109.674,-25.391,-314.941,-29.785,-47.363,2
1624481109.678,-15.625,118.652,-32.715,-35.156,2
1624481109.6820002,-4.883,-83.008,-24.901999999999997,-10.742,2
1624481109.686,-20.996,-494.629,-20.02,-5.859,2
1624481109.69,-41.992,-46.875,-29.785,-36.621,2
1624481109.694,-28.809,146.484,-29.296999999999997,-33.203,2
1624481109.698,-14.648,-25.391,-41.992,-11.719000000000001,2
1624481109.7020001,-10.742,49.805,-36.133,-4.883,2
1624481109.706,-16.113,111.32799999999999,-29.785,-12.207,2
1624481109.71,-21.484,-239.25799999999998,-33.203,-29.296999999999997,2
1624481109.714,-5.371,-168.945,-23.926,-21.484,2
1624481109.717,-2.93,-8.301,-28.32,-4.883,2
1624481109.721,-17.09,-24.414,-33.691,-24.414,2
1624481109.725,-10.742,-60.059,-24.901999999999997,-23.438000000000002,2
1624481109.7289999,-7.324,-504.395,-20.508000000000003,-4.395,2
1624481109.7329998,-14.648,-97.16799999999999,-35.156,-8.789,2
1624481109.7370002,-19.531,368.652,-40.527,-22.461,2
1624481109.7410002,-30.761999999999997,-260.254,-25.391,-34.18,2
1624481109.745,-28.32,-384.76599999999996,-29.785,-34.668,2
1624481109.7489998,-12.207,293.457,-20.02,-23.926,2
1624481109.7529998,-11.23,504.88300000000004,-14.648,-20.02,2
1624481109.7570002,-19.043,0.0,-25.391,-26.366999999999997,2
1624481109.76,-20.02,-236.81599999999997,-25.879,-23.926,2
1624481109.764,-12.695,-41.016000000000005,-47.852,-11.23,2
1624481109.768,-11.23,56.152,-48.34,-15.137,2
1624481109.772,-15.625,-451.66,-32.715,-26.366999999999997,2
1624481109.776,-16.113,-699.2189999999999,-34.668,-29.296999999999997,2
1624481109.78,-0.488,118.164,-35.156,-23.438000000000002,2
1624481109.784,0.977,453.61300000000006,-39.551,-18.555,2
1624481109.7879999,-10.742,152.832,-41.992,-27.344,2
1624481109.792,-10.254000000000001,-226.074,-21.484,-38.086,2
1624481109.796,-14.16,-47.363,-20.508000000000003,-32.227,2
1624481109.799,-13.184000000000001,283.691,-33.691,-8.789,2
1624481109.803,-10.254000000000001,128.418,-31.25,-12.695,2
1624481109.8070002,-12.695,8.789,-22.461,-33.691,2
1624481109.811,-21.484,-100.586,-19.043,-26.855,2
1624481109.815,-21.484,-2.93,-23.438000000000002,-8.301,2
1624481109.819,-23.438000000000002,-355.957,-42.48,-5.371,2
1624481109.823,-32.227,-592.285,-47.852,-30.761999999999997,2
1624481109.8270001,-37.598,-17.09,-34.18,-41.992,2
1624481109.831,-25.391,165.52700000000002,-45.41,-18.555,2
1624481109.835,-12.695,145.996,-41.016000000000005,-9.766,2
1624481109.839,-29.296999999999997,165.03900000000002,-24.901999999999997,-41.992,2
1624481109.842,-31.25,122.07,-27.344,-51.27,2
1624481109.846,-16.113,41.016000000000005,-36.133,-24.414,2
1624481109.85,-16.113,131.836,-41.016000000000005,-16.602,2
1624481109.8539999,-16.113,188.965,-29.785,-28.809,2
1624481109.8579998,-20.02,-168.945,-24.414,-38.086,2
1624481109.8620002,-24.901999999999997,-516.602,-25.391,-28.32,2
1624481109.8660002,-15.625,-389.648,-17.09,-7.812,2
1624481109.87,-16.602,239.25799999999998,-14.648,-10.254000000000001,2
1624481109.8739998,-20.02,195.312,-21.484,-22.461,2
1624481109.8779998,-24.901999999999997,-181.15200000000002,-23.438000000000002,-25.879,2
1624481109.881,-21.973000000000003,7.324,-37.109,-23.438000000000002,2
1624481109.885,-10.254000000000001,162.109,-49.316,-10.254000000000001,2
1624481109.889,20.02,-69.336,-39.062,10.742,2
1624481109.893,19.043,-137.695,-19.531,1.465,2
