timestamps,TP9,AF7,AF8,TP10,Interest
1624483284.283,-21.973000000000003,107.91,-38.086,-25.879,4
1624483284.2870002,-30.761999999999997,-227.051,-37.109,-35.156,4
1624483284.2910001,-33.691,-752.441,-29.296999999999997,-34.668,4
1624483284.295,-30.273000000000003,-256.836,-27.344,-34.18,4
1624483284.299,-24.414,300.781,-48.34,-34.668,4
1624483284.303,-32.715,66.406,-57.617,-39.062,4
1624483284.3070002,-37.598,-98.145,-37.598,-48.34,4
1624483284.31,-32.715,183.105,-20.996,-36.133,4
1624483284.314,-22.461,254.88299999999998,-30.761999999999997,-18.066,4
1624483284.3179998,-23.926,-163.57399999999998,-39.551,-28.809,4
1624483284.322,-33.203,-166.50400000000002,-27.831999999999997,-40.039,4
1624483284.326,-36.133,96.68,-14.648,-34.668,4
1624483284.33,-22.461,299.805,-29.785,-17.578,4
1624483284.3339999,-11.23,-81.543,-57.617,-1.465,4
1624483284.3379998,-29.296999999999997,-621.582,-45.898,-20.996,4
1624483284.342,-52.246,-201.66,-23.926,-50.293,4
1624483284.346,-50.781000000000006,264.16,-23.438000000000002,-41.992,4
1624483284.35,-41.016000000000005,30.273000000000003,-31.738000000000003,-23.926,4
1624483284.353,-50.293,-47.852,-16.113,-41.016000000000005,4
1624483284.357,-56.641000000000005,124.023,-16.602,-55.663999999999994,4
1624483284.361,-43.457,162.109,-35.645,-36.621,4
1624483284.365,-35.645,29.785,-27.344,-22.949,4
1624483284.369,-42.968999999999994,88.867,-32.715,-32.227,4
1624483284.373,-49.805,151.855,-59.57,-46.875,4
1624483284.377,-45.898,67.87100000000001,-58.105,-44.922,4
1624483284.381,-36.621,-199.21900000000002,-49.805,-29.296999999999997,4
1624483284.385,-38.086,-120.117,-50.293,-32.715,4
1624483284.389,-46.875,167.96900000000002,-38.086,-54.688,4
1624483284.3920002,-47.363,-49.805,-43.945,-61.523,4
1624483284.3960001,-37.109,-492.18800000000005,-54.199,-32.715,4
1624483284.4,-38.574,-44.922,-45.41,-22.949,4
1624483284.404,-52.246,157.227,-55.176,-41.992,4
1624483284.408,-46.387,-90.33200000000001,-61.035,-41.504,4
1624483284.4120002,-34.18,-201.172,-57.617,-25.879,4
1624483284.4160001,-35.156,131.34799999999998,-43.457,-20.02,4
1624483284.42,-41.992,262.695,-44.434,-33.203,4
1624483284.424,-39.551,-160.156,-48.828,-39.062,4
1624483284.428,-33.203,-406.73800000000006,-35.156,-22.461,4
1624483284.4320002,-21.973000000000003,-56.641000000000005,-36.621,-11.719000000000001,4
1624483284.435,-31.738000000000003,266.113,-42.968999999999994,-22.461,4
1624483284.439,-40.527,-297.85200000000003,-41.992,-25.879,4
1624483284.4429998,-32.715,-564.941,-18.066,-17.578,4
1624483284.447,-22.461,229.49200000000002,-16.602,-5.371,4
1624483284.451,-28.809,226.562,-37.109,-7.324,4
1624483284.455,-37.598,-230.957,-29.785,-20.508000000000003,4
1624483284.4589999,-31.25,1.465,-26.366999999999997,-24.901999999999997,4
1624483284.4629998,-17.09,312.012,-30.761999999999997,-14.648,4
1624483284.467,-12.207,227.051,-41.992,-5.859,4
1624483284.471,-23.438000000000002,-148.438,-44.922,-23.926,4
1624483284.475,-25.391,-354.98,-38.574,-28.32,4
1624483284.478,-13.184000000000001,-145.02,-32.227,-10.742,4
1624483284.482,-10.742,107.91,-41.992,-6.348,4
1624483284.486,-23.926,-610.352,-46.875,-20.508000000000003,4
1624483284.49,-22.461,-403.32,-23.926,-36.133,4
1624483284.494,-15.137,249.023,-31.25,-25.879,4
1624483284.498,-17.09,221.19099999999997,-51.758,-10.254000000000001,4
1624483284.502,-34.18,41.992,-64.941,-24.414,4
1624483284.506,-46.875,-192.87099999999998,-62.012,-51.758,4
1624483284.51,-40.039,-205.56599999999997,-50.293,-52.733999999999995,4
1624483284.514,-24.901999999999997,-82.52,-45.41,-32.715,4
1624483284.518,-27.344,93.262,-47.363,-33.691,4
1624483284.5210001,-32.715,-116.211,-42.968999999999994,-41.992,4
1624483284.525,-28.809,-253.90599999999998,-52.246,-34.668,4
1624483284.529,-19.043,-126.95299999999999,-74.219,-14.648,4
1624483284.533,-13.184000000000001,63.477,-65.43,-12.207,4
1624483284.5370002,-27.344,204.102,-62.5,-35.156,4
1624483284.5410001,-31.738000000000003,134.27700000000002,-59.57,-42.968999999999994,4
1624483284.545,-21.973000000000003,-341.79699999999997,-56.152,-27.344,4
1624483284.549,-15.625,-315.918,-42.48,-12.695,4
1624483284.553,-21.484,216.30900000000003,-31.738000000000003,-21.484,4
1624483284.5570002,-32.227,49.805,-39.062,-41.016000000000005,4
1624483284.56,-26.855,-166.016,-41.016000000000005,-36.621,4
1624483284.564,-21.973000000000003,92.773,-58.105,-25.879,4
1624483284.5679998,-34.668,66.895,-63.477,-35.156,4
1624483284.572,-39.551,-315.918,-62.5,-52.733999999999995,4
1624483284.576,-29.296999999999997,-411.13300000000004,-55.176,-49.316,4
1624483284.58,-19.043,78.125,-44.922,-31.25,4
1624483284.5839999,-23.438000000000002,360.352,-39.062,-31.25,4
1624483284.5879998,-29.785,-28.32,-44.922,-42.968999999999994,4
1624483284.592,-24.901999999999997,-721.68,-48.34,-44.434,4
1624483284.596,-19.531,-232.422,-41.992,-31.738000000000003,4
1624483284.6,-17.578,41.992,-41.504,-20.996,4
1624483284.603,-21.484,-218.262,-42.48,-32.715,4
1624483284.607,-22.461,-41.504,-53.711000000000006,-42.48,4
1624483284.611,-18.066,169.922,-48.34,-31.25,4
1624483284.615,-11.23,100.098,-41.504,-20.996,4
1624483284.619,-19.531,-320.312,-43.945,-35.645,4
1624483284.623,-37.109,-716.797,-36.621,-50.293,4
1624483284.627,-37.109,-74.707,-39.062,-40.527,4
1624483284.631,-26.855,393.555,-38.086,-25.391,4
1624483284.635,-35.156,-93.262,-42.968999999999994,-35.645,4
1624483284.639,-44.922,-149.414,-40.039,-53.711000000000006,4
1624483284.643,-41.504,203.613,-42.48,-48.34,4
1624483284.6460001,-37.109,249.512,-61.035,-37.598,4
1624483284.65,-40.039,65.918,-54.199,-43.457,4
1624483284.654,-43.945,124.023,-24.414,-55.176,4
1624483284.658,-37.598,155.762,-36.133,-52.246,4
1624483284.6620002,-22.461,-152.832,-56.152,-39.062,4
1624483284.6660001,-15.137,-322.754,-44.434,-32.715,4
1624483284.67,-22.461,6.836,-31.25,-38.574,4
1624483284.674,-29.296999999999997,222.168,-20.508000000000003,-53.223,4
1624483284.678,-21.484,20.02,-32.715,-35.645,4
1624483284.6820002,-9.277000000000001,-573.242,-33.203,-3.906,4
1624483284.685,-22.461,-119.141,-5.859,-16.113,4
1624483284.689,-30.273000000000003,149.90200000000002,-9.277000000000001,-29.296999999999997,4
1624483284.6929998,-18.066,-221.19099999999997,-9.766,-23.438000000000002,4
1624483284.697,-11.23,38.574,-2.441,-6.348,4
1624483284.701,-15.137,318.848,-7.324,-5.371,4
1624483284.705,-26.855,207.03099999999998,-13.672,-25.391,4
1624483284.7089999,-31.25,-231.445,-12.695,-28.32,4
1624483284.7129998,-23.438000000000002,-283.691,-2.93,-19.531,4
1624483284.717,-22.949,190.918,6.836,-16.602,4
1624483284.721,-36.621,271.973,-7.324,-31.25,4
1624483284.725,-40.039,-344.23800000000006,-35.645,-33.203,4
1624483284.728,-35.156,-450.684,-25.879,-20.996,4
1624483284.732,-26.855,280.27299999999997,-15.625,-16.113,4
1624483284.736,-36.621,103.027,-42.48,-32.715,4
1624483284.74,-41.016000000000005,-447.754,-46.387,-41.992,4
1624483284.744,-22.949,-71.289,-17.09,-20.508000000000003,4
1624483284.748,-20.508000000000003,401.855,-19.043,-13.672,4
1624483284.752,-29.785,113.77,-36.621,-27.831999999999997,4
1624483284.756,-36.621,-436.035,-29.785,-36.133,4
1624483284.76,-36.621,-291.504,-23.926,-39.062,4
1624483284.764,-32.715,307.617,-30.761999999999997,-31.25,4
1624483284.768,-38.086,178.71099999999998,-48.828,-36.621,4
1624483284.7710001,-51.758,-613.281,-67.87100000000001,-60.059,4
1624483284.775,-52.733999999999995,-288.574,-62.5,-60.059,4
1624483284.779,-34.18,321.777,-47.852,-39.062,4
1624483284.783,-33.203,124.023,-58.105,-35.645,4
1624483284.7870002,-46.387,-265.625,-61.035,-48.828,4
1624483284.7910001,-38.574,-47.852,-47.852,-52.733999999999995,4
1624483284.795,-29.296999999999997,-1.953,-54.199,-39.062,4
1624483284.799,-24.901999999999997,-56.641000000000005,-67.87100000000001,-22.949,4
1624483284.803,-30.273000000000003,-175.293,-62.988,-27.344,4
1624483284.8070002,-34.668,-137.207,-52.733999999999995,-36.621,4
1624483284.811,-24.901999999999997,177.24599999999998,-51.27,-26.855,4
1624483284.814,-14.648,-62.012,-48.828,-6.348,4
1624483284.8179998,-20.996,-316.406,-37.109,-16.113,4
1624483284.822,-36.133,76.66,-49.805,-40.039,4
1624483284.826,-33.691,54.199,-60.059,-36.621,4
1624483284.83,-27.831999999999997,-80.078,-54.688,-22.949,4
1624483284.8339999,-26.855,180.176,-49.316,-22.949,4
1624483284.8379998,-35.645,239.74599999999998,-46.387,-40.039,4
1624483284.842,-38.574,60.547,-51.27,-44.922,4
1624483284.846,-27.831999999999997,-47.852,-56.641000000000005,-22.949,4
1624483284.85,-24.901999999999997,-48.34,-58.105,-8.301,4
1624483284.853,-34.18,-109.863,-50.293,-21.484,4
1624483284.857,-32.227,-275.879,-48.828,-35.156,4
1624483284.861,-24.901999999999997,-604.492,-54.199,-27.831999999999997,4
1624483284.865,-26.855,-74.707,-50.781000000000006,-20.508000000000003,4
1624483284.869,-36.621,295.41,-60.547,-30.273000000000003,4
1624483284.873,-39.551,39.551,-65.43,-43.945,4
1624483284.877,-33.691,0.488,-46.875,-38.574,4
1624483284.881,-28.809,62.988,-55.176,-26.855,4
1624483284.885,-29.785,168.945,-71.289,-30.761999999999997,4
1624483284.889,-40.039,-18.066,-68.359,-51.27,4
1624483284.893,-42.48,-4.395,-56.641000000000005,-58.593999999999994,4
1624483284.8960001,-28.32,62.5,-49.316,-40.527,4
1624483284.9,-25.391,4.883,-60.059,-37.598,4
1624483284.904,-39.551,-361.816,-67.383,-54.688,4
