timestamps,TP9,AF7,AF8,TP10,Interest
1624480388.316,-20.02,-124.512,-28.32,-16.113,4
1624480388.319,-16.113,-62.012,-22.949,-9.766,4
1624480388.323,-20.508000000000003,-87.891,-28.809,-32.227,4
1624480388.3270001,-19.531,-215.82,-31.25,-33.691,4
1624480388.331,-9.766,-573.242,-26.855,-8.789,4
1624480388.335,-9.277000000000001,-244.62900000000002,-27.344,-0.977,4
1624480388.339,-19.531,110.352,-21.973000000000003,-20.02,4
1624480388.343,-26.366999999999997,-150.391,-16.602,-31.738000000000003,4
1624480388.3470001,-28.32,-156.25,-23.926,-30.273000000000003,4
1624480388.351,-20.02,281.25,-20.996,-23.438000000000002,4
1624480388.355,-27.831999999999997,291.504,-2.441,-28.32,4
1624480388.3579998,-36.133,-111.32799999999999,-1.953,-38.086,4
1624480388.3620002,-3.906,-216.30900000000003,-7.324,-4.883,4
1624480388.3660002,8.789,-50.781000000000006,-15.625,4.883,4
1624480388.37,-30.761999999999997,-89.355,-13.184000000000001,-46.387,4
1624480388.3739998,-61.035,-642.09,-8.789,-74.707,4
1624480388.3779998,-80.078,-741.699,-5.371,-94.238,4
1624480388.3820002,-104.98,69.824,5.371,-120.605,4
1624480388.3860002,-111.816,231.445,15.625,-128.906,4
1624480388.39,-140.625,-295.89799999999997,27.831999999999997,-161.13299999999998,4
1624480388.394,-169.43400000000003,-407.715,43.457,-198.24200000000002,4
1624480388.3979998,-188.477,-145.50799999999998,44.922,-215.332,4
1624480388.401,-204.102,-126.95299999999999,46.875,-222.65599999999998,4
1624480388.405,-221.19099999999997,-126.95299999999999,46.875,-250.0,4
1624480388.409,-249.512,-124.023,37.598,-286.621,4
1624480388.4129999,-251.953,-174.805,41.504,-284.668,4
1624480388.417,-252.93,-125.0,40.527,-282.22700000000003,4
1624480388.421,-261.23,-334.473,38.086,-304.199,4
1624480388.425,-248.535,-206.055,45.41,-305.664,4
1624480388.429,-255.37099999999998,162.59799999999998,46.387,-305.664,4
1624480388.4329998,-260.742,165.03900000000002,34.18,-303.711,4
1624480388.437,-235.84,223.145,28.809,-287.598,4
1624480388.441,-217.285,279.297,28.32,-279.785,4
1624480388.444,-209.96099999999998,138.184,21.973000000000003,-271.973,4
1624480388.448,-183.105,-18.555,19.531,-242.188,4
1624480388.4520001,-164.062,204.59,-3.906,-227.051,4
1624480388.456,-150.879,315.918,-17.09,-215.82,4
1624480388.46,-132.32399999999998,-9.766,-8.789,-205.56599999999997,4
1624480388.464,-104.492,-514.648,-12.207,-171.387,4
1624480388.468,-81.543,-341.79699999999997,-19.043,-124.023,4
1624480388.4720001,-77.637,372.07,-24.901999999999997,-121.58200000000001,4
1624480388.476,-68.848,182.61700000000002,-32.227,-125.0,4
1624480388.48,-51.758,-3.906,-34.18,-103.516,4
1624480388.4829998,-35.156,297.363,-34.668,-70.312,4
1624480388.4870002,-34.18,486.32800000000003,-44.434,-55.663999999999994,4
1624480388.4910002,-29.785,50.293,-49.805,-49.805,4
1624480388.495,-14.648,-212.891,-50.781000000000006,-35.156,4
1624480388.4989998,4.395,256.836,-52.733999999999995,-6.348,4
1624480388.5029998,19.531,433.105,-56.152,13.672,4
1624480388.5070002,20.02,-74.707,-62.5,8.301,4
1624480388.5110002,30.761999999999997,-480.469,-62.5,12.207,4
1624480388.515,51.758,-90.33200000000001,-62.988,34.668,4
1624480388.519,61.523,463.86699999999996,-47.363,51.758,4
1624480388.5229998,58.593999999999994,-1.465,-47.852,43.945,4
1624480388.526,52.246,-552.246,-65.918,31.25,4
1624480388.53,58.105,8.789,-59.082,35.645,4
1624480388.534,63.965,462.402,-60.059,49.805,4
1624480388.5379999,58.593999999999994,144.043,-62.988,49.805,4
1624480388.542,52.246,-157.715,-63.477,29.785,4
1624480388.546,58.105,91.79700000000001,-63.965,30.761999999999997,4
1624480388.55,69.824,285.156,-62.988,54.199,4
1624480388.554,61.523,-31.738000000000003,-63.965,55.663999999999994,4
1624480388.5579998,45.41,-267.09,-69.336,40.527,4
1624480388.562,45.41,-235.84,-64.453,44.922,4
1624480388.565,53.711000000000006,-23.438000000000002,-58.593999999999994,57.617,4
1624480388.569,56.152,-258.301,-61.523,72.75399999999999,4
1624480388.573,42.48,-592.773,-56.152,57.617,4
1624480388.5770001,35.156,-169.922,-55.663999999999994,35.645,4
1624480388.581,40.527,74.219,-59.57,46.875,4
1624480388.585,42.48,9.277000000000001,-62.5,57.129,4
1624480388.589,32.227,6.836,-56.641000000000005,38.086,4
1624480388.593,28.809,103.516,-53.223,19.043,4
1624480388.5970001,43.945,-42.968999999999994,-52.246,29.785,4
1624480388.601,55.176,-203.125,-45.41,42.968999999999994,4
1624480388.605,49.805,-99.609,-46.387,41.016000000000005,4
1624480388.6079998,39.551,25.879,-49.316,29.785,4
1624480388.6120002,41.992,-191.895,-46.387,31.25,4
1624480388.6160002,47.363,-270.996,-43.457,41.016000000000005,4
1624480388.62,46.387,-24.414,-42.48,40.527,4
1624480388.6239998,34.18,86.426,-37.598,22.949,4
1624480388.6279998,21.973000000000003,-297.363,-40.039,6.348,4
1624480388.6320002,29.296999999999997,-360.84,-39.551,24.901999999999997,4
1624480388.6360002,29.296999999999997,248.535,-41.504,31.738000000000003,4
1624480388.64,15.137,160.645,-42.968999999999994,9.277000000000001,4
1624480388.644,7.812,-255.859,-40.039,-4.883,4
1624480388.6479998,8.301,-353.027,-41.016000000000005,2.441,4
1624480388.651,16.113,-60.547,-42.968999999999994,26.855,4
1624480388.655,10.254000000000001,174.805,-45.41,31.738000000000003,4
1624480388.659,0.0,-486.816,-33.203,17.578,4
1624480388.6629999,6.348,-668.457,-27.831999999999997,15.625,4
1624480388.667,17.09,256.348,-26.855,32.227,4
