timestamps,TP9,AF7,AF8,TP10,Interest
1624479147.32,-4.883,158.203,-26.366999999999997,-15.137,2
1624479147.323,-10.254000000000001,-103.027,-6.836,-28.809,2
1624479147.3270001,-35.645,-829.59,-8.301,-42.968999999999994,2
1624479147.331,-36.133,-603.516,-32.715,-37.109,2
1624479147.335,-19.531,141.113,-34.18,-33.203,2
1624479147.339,-29.296999999999997,108.887,-39.551,-42.968999999999994,2
1624479147.343,-41.504,-155.273,-38.574,-54.199,2
1624479147.3470001,-35.645,12.695,-35.156,-54.688,2
1624479147.351,-22.949,154.297,-18.555,-35.156,2
1624479147.355,-21.484,40.527,-2.93,-21.973000000000003,2
1624479147.359,-30.273000000000003,-113.281,-23.926,-36.621,2
1624479147.363,-25.879,-2.93,-30.273000000000003,-43.457,2
1624479147.3660002,-21.484,142.09,-18.555,-27.344,2
1624479147.37,-29.296999999999997,-244.62900000000002,-10.254000000000001,-18.066,2
1624479147.3739998,-39.551,-630.371,-18.555,-34.668,2
1624479147.3779998,-34.668,-379.395,-42.48,-34.668,2
1624479147.3820002,-22.461,19.531,-34.18,-15.625,2
1624479147.3860002,-18.555,-207.03099999999998,-14.16,-5.371,2
1624479147.39,-19.531,-429.199,-14.648,-17.09,2
1624479147.394,-19.043,-200.195,-21.484,-37.109,2
1624479147.3979998,-18.066,-68.848,-16.602,-27.344,2
1624479147.4020002,-23.438000000000002,-166.016,-13.672,-9.766,2
1624479147.405,-29.296999999999997,-85.449,-16.113,-16.113,2
1624479147.409,-32.227,6.836,-10.742,-38.086,2
1624479147.4129999,-26.366999999999997,-74.219,-16.602,-46.875,2
1624479147.417,-21.484,-350.586,-29.296999999999997,-37.109,2
1624479147.421,-26.366999999999997,-330.07800000000003,-32.715,-36.621,2
1624479147.425,-35.645,-197.75400000000002,-31.25,-58.105,2
1624479147.429,-30.761999999999997,-305.664,-22.949,-66.406,2
1624479147.4329998,-21.973000000000003,-608.887,-16.602,-45.898,2
1624479147.437,-18.555,-58.593999999999994,-12.695,-33.691,2
1624479147.441,-20.02,242.676,-8.789,-43.457,2
1624479147.445,-28.809,-116.211,-14.16,-55.663999999999994,2
1624479147.448,-23.926,-55.176,-28.32,-45.898,2
1624479147.4520001,-10.742,278.809,-20.02,-24.414,2
1624479147.456,-11.23,247.55900000000003,-2.441,-18.066,2
1624479147.46,-21.973000000000003,-90.82,-9.277000000000001,-38.086,2
1624479147.464,-26.366999999999997,-342.773,-23.926,-41.016000000000005,2
1624479147.468,-17.09,-67.87100000000001,-31.738000000000003,-18.555,2
1624479147.4720001,-22.461,291.504,-24.901999999999997,-15.625,2
1624479147.476,-29.296999999999997,-244.62900000000002,-23.926,-31.738000000000003,2
1624479147.48,-17.09,-568.8480000000001,-19.043,-30.761999999999997,2
1624479147.484,-5.371,115.234,-11.719000000000001,-9.766,2
1624479147.488,-12.695,59.082,-29.785,-15.137,2
1624479147.4910002,-32.227,-274.414,-37.109,-42.968999999999994,2
1624479147.495,-24.901999999999997,-1.953,-20.02,-39.062,2
1624479147.4989998,-24.414,261.719,-18.555,-27.344,2
1624479147.5029998,-27.344,185.05900000000003,-20.508000000000003,-25.879,2
1624479147.5070002,-23.438000000000002,-86.914,-17.578,-30.273000000000003,2
1624479147.5110002,-27.831999999999997,-239.74599999999998,-20.02,-41.504,2
1624479147.515,-23.438000000000002,-141.113,-10.742,-32.227,2
1624479147.519,-15.625,-118.164,-10.254000000000001,-26.366999999999997,2
1624479147.5229998,-35.156,-649.414,-19.043,-38.086,2
1624479147.5270002,-38.086,-327.637,-20.996,-47.363,2
1624479147.53,-18.555,269.043,-11.719000000000001,-40.039,2
1624479147.534,-9.766,244.141,-9.766,-23.926,2
1624479147.5379999,-28.32,164.062,-21.973000000000003,-24.414,2
1624479147.542,-48.828,10.254000000000001,-25.879,-49.316,2
1624479147.546,-37.109,-23.438000000000002,-23.926,-56.641000000000005,2
1624479147.55,-22.949,144.531,-11.719000000000001,-34.668,2
1624479147.554,-29.296999999999997,216.30900000000003,-9.277000000000001,-25.879,2
1624479147.5579998,-32.227,-34.668,-25.879,-43.457,2
1624479147.562,-29.785,-159.668,-32.715,-52.733999999999995,2
1624479147.566,-18.066,-230.46900000000002,-20.996,-36.133,2
1624479147.57,-3.418,-335.449,-19.531,-8.301,2
1624479147.573,-15.137,162.59799999999998,-23.926,-12.207,2
1624479147.5770001,-10.742,168.457,-19.531,-14.648,2
1624479147.581,3.418,-110.352,-13.672,3.906,2
1624479147.585,-8.789,185.547,-18.066,-1.465,2
1624479147.589,-32.227,350.586,-35.156,-30.273000000000003,2
1624479147.593,-28.809,125.0,-34.668,-45.898,2
1624479147.5970001,-7.324,-160.645,-16.602,-30.273000000000003,2
1624479147.601,-8.789,-100.098,-20.508000000000003,-12.695,2
1624479147.605,-17.09,-24.901999999999997,-22.949,-12.695,2
1624479147.609,-19.531,-265.137,-12.695,-20.02,2
1624479147.613,-27.831999999999997,-778.32,-14.648,-23.438000000000002,2
1624479147.6160002,-30.273000000000003,-324.707,-6.836,-16.113,2
1624479147.62,-27.344,361.816,-14.16,-9.277000000000001,2
1624479147.6239998,-36.621,123.535,-16.602,-24.414,2
1624479147.6279998,-34.18,-44.922,-4.395,-38.574,2
1624479147.6320002,-26.855,222.65599999999998,-18.066,-33.691,2
1624479147.6360002,-18.555,351.074,-29.296999999999997,-30.273000000000003,2
1624479147.64,-12.207,95.70299999999999,-20.508000000000003,-33.691,2
1624479147.644,-6.348,2.93,-11.719000000000001,-30.761999999999997,2
1624479147.6479998,-6.348,149.90200000000002,-8.301,-20.02,2
1624479147.6520002,-4.883,72.75399999999999,-20.508000000000003,-12.695,2
1624479147.6560001,-9.766,-299.805,-26.366999999999997,-16.602,2
1624479147.659,-11.23,-608.398,-19.531,-27.344,2
1624479147.6629999,-13.672,10.254000000000001,-28.32,-33.691,2
1624479147.667,-8.789,381.348,-24.901999999999997,-14.16,2
1624479147.671,-11.719000000000001,23.926,-12.695,-13.672,2
1624479147.675,-31.25,-43.457,-34.668,-39.551,2
1624479147.679,-28.32,200.195,-33.691,-42.48,2
1624479147.6829998,-9.277000000000001,227.53900000000002,-8.789,-20.996,2
1624479147.687,-4.883,27.344,-13.672,-13.184000000000001,2
1624479147.691,-14.16,32.227,-19.531,-31.738000000000003,2
1624479147.695,-24.414,84.473,-26.366999999999997,-42.48,2
1624479147.698,-17.09,-116.699,-22.949,-19.531,2
1624479147.7020001,-4.883,-635.254,-24.901999999999997,-3.418,2
1624479147.706,-16.113,-495.11699999999996,-25.391,-18.555,2
1624479147.71,-25.879,14.16,-20.02,-41.016000000000005,2
1624479147.714,-19.531,-128.418,-16.602,-27.344,2
1624479147.718,-19.531,-22.461,-10.742,0.488,2
1624479147.7220001,-26.855,259.76599999999996,-16.602,-1.465,2
1624479147.726,-30.761999999999997,183.59400000000002,-15.137,-18.555,2
1624479147.73,-30.273000000000003,-66.406,-8.789,-21.484,2
1624479147.734,-13.672,-5.859,-16.113,-7.812,2
1624479147.738,-18.066,233.887,-10.254000000000001,1.465,2
1624479147.7410002,-30.761999999999997,189.94099999999997,4.883,-21.484,2
1624479147.745,-20.508000000000003,-261.23,1.953,-31.738000000000003,2
1624479147.7489998,-18.555,-460.93800000000005,-36.133,-18.555,2
1624479147.7529998,-27.831999999999997,108.398,-44.434,-20.508000000000003,2
1624479147.7570002,-34.668,217.773,-33.203,-23.438000000000002,2
1624479147.7610002,-30.761999999999997,-267.09,-32.715,-30.761999999999997,2
1624479147.765,-22.461,-191.40599999999998,-25.879,-21.484,2
1624479147.769,0.0,187.012,-22.461,3.906,2
1624479147.7729998,-9.766,-89.844,-22.461,-14.648,2
1624479147.7770002,-28.809,-328.61300000000006,-14.16,-34.18,2
1624479147.7810001,-17.578,-14.16,-24.901999999999997,-28.809,2
1624479147.784,-6.836,298.34,-23.438000000000002,-16.113,2
1624479147.7879999,-24.901999999999997,137.207,-21.484,-20.996,2
1624479147.792,-39.551,-419.434,-31.738000000000003,-36.133,2
1624479147.796,-26.855,-503.906,-33.203,-32.227,2
1624479147.8,-13.672,-90.82,-34.18,-21.484,2
1624479147.804,-13.672,19.043,-28.809,-18.066,2
1624479147.8079998,-20.508000000000003,-573.242,-21.973000000000003,-20.508000000000003,2
1624479147.812,-22.461,-302.246,-20.996,-32.715,2
1624479147.816,-9.766,92.773,-21.484,-26.855,2
1624479147.82,-3.418,74.707,-21.973000000000003,-14.16,2
1624479147.823,-18.066,-42.48,-24.901999999999997,-34.18,2
1624479147.8270001,-28.32,-171.387,-18.555,-49.805,2
1624479147.831,-26.855,-25.391,-21.484,-41.016000000000005,2
1624479147.835,-20.996,41.016000000000005,-24.414,-22.949,2
1624479147.839,-27.831999999999997,-261.23,-30.273000000000003,-26.366999999999997,2
1624479147.843,-33.203,-306.152,-40.527,-44.922,2
1624479147.8470001,-23.926,106.445,-33.691,-35.156,2
1624479147.851,-13.184000000000001,-105.469,-37.109,-10.254000000000001,2
1624479147.855,-14.16,-473.145,-27.831999999999997,-7.324,2
1624479147.859,-17.578,8.789,-11.23,-30.761999999999997,2
1624479147.863,-12.207,67.87100000000001,-20.508000000000003,-34.668,2
1624479147.8660002,-14.648,-113.281,-18.066,-15.625,2
1624479147.87,-26.855,134.27700000000002,-17.578,-13.184000000000001,2
1624479147.8739998,-42.968999999999994,241.699,-16.113,-34.668,2
1624479147.8779998,-36.621,61.523,-19.043,-52.246,2
1624479147.8820002,-28.32,-155.762,-41.016000000000005,-46.387,2
1624479147.8860002,-35.156,-145.02,-47.363,-36.133,2
1624479147.89,-39.551,-144.531,-45.41,-46.875,2
1624479147.894,-30.761999999999997,-339.355,-33.691,-52.733999999999995,2
1624479147.8979998,-33.691,-768.555,-29.296999999999997,-44.922,2
1624479147.9020002,-32.227,-272.949,-24.901999999999997,-31.25,2
1624479147.9060001,-26.366999999999997,379.395,-24.414,-36.621,2
1624479147.909,-35.645,17.09,-28.32,-53.223,2
1624479147.9129999,-31.25,-330.566,-17.578,-38.574,2
1624479147.917,-14.648,159.668,-18.066,-16.113,2
1624479147.921,-13.184000000000001,311.52299999999997,-31.738000000000003,-16.113,2
1624479147.925,-21.484,4.883,-20.02,-34.18,2
1624479147.929,-29.296999999999997,-40.527,-12.207,-41.992,2
1624479147.9329998,-33.691,-51.27,-29.296999999999997,-36.621,2
1624479147.937,-26.366999999999997,-27.344,-34.668,-36.621,2
1624479147.941,-23.438000000000002,-330.07800000000003,-31.738000000000003,-38.574,2
1624479147.945,-28.809,-613.281,-22.461,-36.133,2
1624479147.948,-27.344,68.359,-18.066,-25.391,2
1624479147.9520001,-24.901999999999997,339.844,-19.043,-19.043,2
1624479147.956,-24.414,-82.031,-20.508000000000003,-24.414,2
1624479147.96,-25.391,-89.844,-19.043,-31.25,2
1624479147.964,-34.668,180.176,-11.23,-27.344,2
1624479147.968,-35.156,201.172,-25.879,-22.949,2
1624479147.9720001,-36.621,-30.761999999999997,-33.691,-28.32,2
1624479147.976,-38.574,-78.125,-17.578,-43.457,2
1624479147.98,-36.621,-73.242,-7.324,-41.016000000000005,2
1624479147.984,-26.855,-161.621,-19.531,-26.855,2
1624479147.988,-37.109,-615.234,-38.574,-28.32,2
1624479147.9910002,-49.316,-315.43,-45.898,-49.316,2
1624479147.995,-42.48,100.586,-43.457,-52.733999999999995,2
1624479147.9989998,-31.25,-115.723,-26.366999999999997,-30.761999999999997,2
1624479148.0029998,-26.855,1.953,-19.531,-16.113,2
1624479148.0070002,-20.996,185.547,-24.901999999999997,-20.02,2
1624479148.0110002,-30.761999999999997,146.97299999999998,-27.831999999999997,-34.18,2
1624479148.015,-21.973000000000003,-26.855,-19.043,-17.578,2
1624479148.019,-7.324,63.965,-14.16,-3.906,2
1624479148.0229998,-28.809,177.24599999999998,-27.831999999999997,-23.926,2
1624479148.0270002,-28.809,-92.773,-37.109,-45.898,2
1624479148.0310001,-18.555,-440.43,-34.18,-39.551,2
1624479148.034,-19.043,-532.227,-24.901999999999997,-15.625,2
1624479148.0379999,-20.02,133.789,-17.09,-26.366999999999997,2
1624479148.042,-29.785,217.285,-20.996,-44.434,2
1624479148.046,-40.527,-175.293,-25.879,-48.34,2
1624479148.05,-30.761999999999997,84.473,-27.344,-28.32,2
1624479148.054,-20.02,212.891,-16.113,-15.137,2
1624479148.0579998,-31.25,-171.875,-21.484,-24.901999999999997,2
1624479148.062,-30.761999999999997,-313.47700000000003,-32.715,-28.809,2
1624479148.066,-24.414,87.402,-28.809,-26.366999999999997,2
1624479148.07,-28.32,325.684,-30.273000000000003,-21.484,2
1624479148.074,-30.273000000000003,-119.141,-30.273000000000003,-28.809,2
1624479148.0770001,-37.109,-800.293,-20.02,-36.621,2
1624479148.081,-34.18,-544.434,-11.719000000000001,-28.32,2
1624479148.085,-21.973000000000003,260.742,-14.16,-12.695,2
1624479148.089,-22.461,205.56599999999997,-25.879,-16.602,2
1624479148.093,-26.855,-95.215,-30.273000000000003,-42.968999999999994,2
1624479148.0970001,-19.531,104.492,-16.602,-40.527,2
1624479148.101,-12.207,295.41,-23.926,-25.879,2
1624479148.105,-20.996,170.898,-32.227,-29.296999999999997,2
1624479148.109,-35.156,-121.094,-38.086,-41.016000000000005,2
1624479148.113,-27.344,-201.172,-43.457,-45.41,2
1624479148.1160002,-16.113,96.191,-36.621,-31.738000000000003,2
1624479148.12,-21.484,-52.733999999999995,-38.086,-27.831999999999997,2
1624479148.1239998,-45.41,-437.01199999999994,-38.086,-51.758,2
1624479148.1279998,-51.27,-117.18799999999999,-30.761999999999997,-57.129,2
1624479148.1320002,-32.227,165.52700000000002,-23.438000000000002,-43.945,2
1624479148.1360002,-26.855,-58.593999999999994,-35.645,-30.761999999999997,2
1624479148.14,-43.945,-93.262,-33.203,-34.668,2
1624479148.144,-51.27,114.74600000000001,-24.414,-52.733999999999995,2
1624479148.1479998,-34.668,77.637,-17.09,-48.828,2
1624479148.1520002,-25.879,-198.24200000000002,-14.16,-31.25,2
1624479148.1560001,-38.086,-106.934,-27.831999999999997,-36.621,2
1624479148.159,-40.039,119.62899999999999,-20.508000000000003,-48.34,2
1624479148.1629999,-42.968999999999994,-11.23,-15.137,-60.547,2
1624479148.167,-42.48,-333.98400000000004,-23.926,-58.105,2
1624479148.171,-58.593999999999994,-314.941,-20.996,-56.641000000000005,2
1624479148.175,-77.637,-276.367,-14.648,-80.078,2
1624479148.179,-76.66,-494.14099999999996,-12.207,-91.79700000000001,2
1624479148.1829998,-97.656,-497.559,-3.906,-86.914,2
1624479148.187,-106.934,-98.633,13.184000000000001,-100.586,2
1624479148.191,-113.281,68.848,24.414,-126.465,2
1624479148.195,-145.996,-281.738,22.461,-153.32,2
1624479148.199,-146.484,-489.25800000000004,21.973000000000003,-148.92600000000002,2
1624479148.2020001,-138.184,-56.152,33.203,-136.23,2
1624479148.206,-155.273,14.648,41.504,-162.109,2
1624479148.21,-168.457,-285.156,44.922,-194.824,2
1624479148.214,-176.75799999999998,-473.63300000000004,47.852,-195.801,2
1624479148.218,-176.27,-208.984,41.504,-182.61700000000002,2
1624479148.2220001,-185.547,45.41,41.504,-199.707,2
1624479148.226,-200.68400000000003,-484.375,45.898,-220.215,2
1624479148.23,-198.24200000000002,-715.82,43.457,-215.332,2
1624479148.234,-188.965,-66.895,47.852,-202.637,2
1624479148.238,-196.28900000000002,17.09,39.551,-211.91400000000002,2
1624479148.2410002,-213.86700000000002,-357.91,20.996,-232.91,2
1624479148.245,-205.078,-215.82,12.695,-230.46900000000002,2
1624479148.2489998,-164.551,200.68400000000003,17.578,-199.21900000000002,2
1624479148.2529998,-154.785,239.74599999999998,20.02,-177.24599999999998,2
1624479148.2570002,-169.922,-244.141,0.0,-178.71099999999998,2
1624479148.2610002,-152.344,-346.68,-16.602,-176.27,2
1624479148.265,-133.789,-48.34,-14.648,-157.715,2
1624479148.269,-114.74600000000001,10.254000000000001,-16.113,-126.95299999999999,2
1624479148.2729998,-98.145,-447.754,-20.508000000000003,-109.375,2
1624479148.2770002,-91.79700000000001,-126.95299999999999,-22.949,-117.676,2
1624479148.2810001,-73.73,351.074,-20.996,-99.12100000000001,2
1624479148.284,-49.316,201.172,-25.879,-53.711000000000006,2
1624479148.2879999,-41.992,267.09,-36.621,-49.316,2
1624479148.292,-44.434,363.281,-47.363,-70.312,2
1624479148.296,-37.598,313.965,-50.781000000000006,-59.57,2
1624479148.3,-18.555,194.824,-37.109,-25.391,2
1624479148.304,-7.324,272.949,-31.738000000000003,-13.184000000000001,2
1624479148.3079998,-7.324,53.223,-36.133,-21.973000000000003,2
1624479148.312,2.93,12.695,-24.414,-18.555,2
1624479148.316,21.484,-50.781000000000006,-34.668,0.977,2
1624479148.32,33.691,-318.35900000000004,-47.363,20.996,2
1624479148.324,24.414,213.37900000000002,-39.062,17.09,2
1624479148.3270001,26.366999999999997,301.758,-33.203,14.16,2
1624479148.331,47.852,26.855,-31.738000000000003,39.062,2
1624479148.335,54.199,294.922,-46.875,59.57,2
1624479148.339,40.527,298.34,-58.105,54.199,2
1624479148.343,28.32,-122.07,-57.617,37.109,2
1624479148.3470001,30.273000000000003,-124.512,-57.129,40.039,2
1624479148.351,42.48,296.387,-57.617,61.523,2
1624479148.355,45.898,224.12099999999998,-59.082,63.965,2
1624479148.359,40.039,-171.875,-59.57,45.898,2
1624479148.363,41.016000000000005,-677.7339999999999,-57.617,38.086,2
1624479148.3660002,50.293,-158.691,-59.082,47.852,2
1624479148.37,51.758,521.484,-52.246,49.316,2
1624479148.3739998,37.598,169.43400000000003,-49.805,33.203,2
1624479148.3779998,37.598,-3.418,-48.828,24.901999999999997,2
1624479148.3820002,52.733999999999995,284.668,-45.41,41.992,2
1624479148.3860002,58.105,491.699,-50.781000000000006,53.223,2
1624479148.39,49.805,270.996,-50.781000000000006,42.48,2
1624479148.394,40.527,-2.93,-63.477,22.461,2
1624479148.3979998,53.711000000000006,-24.901999999999997,-65.918,27.344,2
1624479148.4020002,64.453,109.863,-44.434,42.48,2
1624479148.4060001,41.016000000000005,-101.074,-48.34,34.668,2
1624479148.409,20.02,-526.855,-55.663999999999994,16.602,2
1624479148.4129999,26.366999999999997,0.0,-48.828,5.371,2
1624479148.417,35.156,408.20300000000003,-45.898,15.137,2
1624479148.421,28.32,131.34799999999998,-45.898,16.113,2
1624479148.425,16.113,119.141,-45.41,1.465,2
1624479148.429,13.672,305.176,-40.527,7.812,2
1624479148.4329998,14.16,253.418,-41.504,23.926,2
1624479148.437,13.184000000000001,83.008,-37.598,35.156,2
1624479148.441,2.441,163.57399999999998,-38.574,19.531,2
1624479148.445,6.348,231.445,-41.016000000000005,8.789,2
1624479148.449,13.184000000000001,-49.805,-45.41,22.949,2
1624479148.4520001,21.973000000000003,-525.391,-32.715,44.434,2
1624479148.456,21.973000000000003,-407.715,-13.672,39.062,2
1624479148.46,14.648,-109.863,-24.414,18.066,2
1624479148.464,16.602,49.805,-42.48,10.254000000000001,2
1624479148.468,25.879,232.91,-43.945,20.508000000000003,2
1624479148.4720001,17.09,362.793,-43.457,20.508000000000003,2
1624479148.476,-7.324,312.012,-42.48,6.348,2
1624479148.48,-2.93,96.191,-33.203,4.395,2
1624479148.484,14.648,159.668,-36.621,11.23,2
1624479148.488,4.883,339.355,-43.945,5.859,2
1624479148.492,-19.043,266.60200000000003,-41.016000000000005,-18.555,2
1624479148.495,-24.414,-241.21099999999998,-44.922,-25.391,2
1624479148.4989998,-13.184000000000001,-447.754,-47.363,-12.695,2
1624479148.5029998,-6.348,233.398,-41.992,-2.441,2
1624479148.5070002,-18.066,278.809,-40.039,-5.859,2
1624479148.5110002,-22.949,-210.938,-30.761999999999997,-6.836,2
1624479148.515,-9.277000000000001,-64.941,-11.23,8.789,2
1624479148.519,-8.301,354.004,-26.855,6.836,2
1624479148.5229998,-15.137,248.047,-33.203,-9.277000000000001,2
1624479148.5270002,-18.066,-206.055,-31.25,-18.066,2
1624479148.5310001,-16.602,-62.988,-41.016000000000005,-20.996,2
1624479148.534,-12.207,346.191,-41.016000000000005,-14.16,2
1624479148.5379999,-21.973000000000003,270.508,-39.062,-12.207,2
1624479148.542,-26.855,-339.844,-38.574,-15.137,2
1624479148.546,-21.484,-472.168,-42.968999999999994,-18.066,2
1624479148.55,-12.207,-24.901999999999997,-39.062,-8.789,2
1624479148.554,-11.23,98.633,-34.18,-8.789,2
1624479148.5579998,-17.09,-483.88699999999994,-40.527,-27.831999999999997,2
1624479148.562,-20.508000000000003,-154.297,-33.691,-40.039,2
