timestamps,TP9,AF7,AF8,TP10,Interest
1624485355.032,-56.641000000000005,-192.87099999999998,-54.688,-55.176,3
1624485355.036,-40.527,-471.68,-53.223,-34.668,3
1624485355.04,-22.949,-190.918,-37.109,-4.883,3
1624485355.044,-37.598,187.988,-36.621,-20.508000000000003,3
1624485355.0470002,-44.434,-127.93,-60.059,-46.387,3
1624485355.051,-37.109,-746.0939999999999,-59.57,-42.968999999999994,3
1624485355.055,-26.366999999999997,-352.051,-34.18,-21.484,3
1624485355.059,-19.043,96.68,-57.617,-11.23,3
1624485355.063,-37.109,-406.25,-67.87100000000001,-35.156,3
1624485355.0670002,-48.828,-494.629,-44.922,-58.105,3
1624485355.071,-27.831999999999997,-34.668,-23.438000000000002,-17.09,3
1624485355.075,-15.137,319.336,-31.25,-0.488,3
1624485355.079,-31.738000000000003,-82.52,-58.105,-43.457,3
1624485355.083,-33.203,-631.3480000000001,-51.27,-54.199,3
1624485355.0870001,-20.02,-384.277,-20.508000000000003,-31.738000000000003,3
1624485355.09,-11.719000000000001,220.703,-20.508000000000003,-9.766,3
1624485355.0939999,-21.973000000000003,-205.078,-67.383,-22.461,3
1624485355.0979998,-35.645,-721.68,-71.289,-52.733999999999995,3
1624485355.1020002,-33.203,-197.266,-40.039,-45.898,3
1624485355.106,-23.926,258.789,-40.527,-14.16,3
1624485355.11,-36.621,-317.383,-78.125,-24.414,3
1624485355.1139998,-49.805,-684.082,-62.012,-56.152,3
1624485355.1179998,-33.691,-79.59,-26.366999999999997,-55.176,3
1624485355.1220002,-18.555,124.512,-29.785,-13.184000000000001,3
1624485355.1260002,-25.391,64.453,-40.039,-5.859,3
1624485355.129,-43.945,-298.34,-55.663999999999994,-44.434,3
1624485355.133,-41.504,-399.902,-40.527,-49.805,3
1624485355.137,-20.996,-1.953,-31.738000000000003,-21.484,3
1624485355.141,-8.789,-347.168,-47.852,-13.672,3
1624485355.145,-31.25,-480.957,-36.621,-38.574,3
1624485355.149,-46.875,-41.992,-45.898,-55.176,3
1624485355.1529999,-28.32,-217.285,-58.105,-25.391,3
1624485355.157,-6.348,-91.309,-36.133,0.0,3
1624485355.161,-20.996,220.215,-23.926,-17.578,3
1624485355.165,-39.551,-119.62899999999999,-45.898,-36.621,3
1624485355.169,-28.32,-441.406,-41.992,-33.203,3
1624485355.1720002,-19.531,-62.012,-27.831999999999997,-13.184000000000001,3
1624485355.176,-20.02,23.438000000000002,-52.733999999999995,-2.441,3
1624485355.18,-33.691,-329.102,-56.152,-32.715,3
1624485355.184,-30.761999999999997,-697.2660000000001,-55.663999999999994,-44.434,3
1624485355.188,-20.02,-645.508,-37.598,-15.625,3
1624485355.1920002,-26.366999999999997,141.113,-13.184000000000001,-7.812,3
1624485355.196,-32.715,184.57,-40.527,-29.296999999999997,3
1624485355.2,-41.992,-277.832,-41.992,-41.504,3
1624485355.204,-36.133,-111.816,-15.625,-17.578,3
1624485355.208,-21.484,343.75,-28.32,1.465,3
1624485355.2120001,-36.133,133.30100000000002,-65.43,-24.414,3
1624485355.215,-41.016000000000005,-343.75,-50.293,-39.062,3
1624485355.2189999,-30.273000000000003,-257.324,-32.227,-20.508000000000003,3
1624485355.2229998,-18.555,9.766,-33.691,-1.953,3
1624485355.2270002,-12.207,-123.535,-51.758,-10.742,3
1624485355.231,-29.785,-710.449,-65.43,-32.715,3
1624485355.235,-34.18,-556.1519999999999,-9.766,-41.016000000000005,3
1624485355.2389998,-24.901999999999997,193.84799999999998,-6.348,-20.508000000000003,3
1624485355.2429998,-31.25,153.32,-52.733999999999995,-19.531,3
1624485355.2470002,-43.945,-403.32,-69.336,-59.082,3
1624485355.2510002,-49.805,-396.973,-41.504,-68.359,3
1624485355.254,-40.039,164.551,-31.738000000000003,-33.691,3
1624485355.258,-22.949,75.195,-57.617,-9.766,3
1624485355.262,-33.691,-208.984,-47.852,-33.691,3
1624485355.266,-36.621,-116.211,-28.809,-46.875,3
1624485355.27,-12.207,-103.516,-27.344,-20.02,3
1624485355.274,-11.23,-266.60200000000003,-46.387,-9.766,3
1624485355.2779999,-38.086,-669.922,-65.918,-30.273000000000003,3
1624485355.282,-60.547,-427.246,-38.574,-60.547,3
1624485355.286,-51.758,32.227,-37.598,-54.199,3
1624485355.29,-28.32,79.59,-38.086,-24.901999999999997,3
1624485355.294,-33.691,21.484,-41.504,-26.366999999999997,3
1624485355.2970002,-50.781000000000006,-64.941,-51.27,-49.805,3
1624485355.301,-43.945,-82.031,-48.828,-53.223,3
1624485355.305,-28.809,-2.441,-36.133,-30.761999999999997,3
1624485355.309,-30.761999999999997,82.031,-39.062,-19.043,3
1624485355.313,-43.945,-166.99200000000002,-60.547,-39.062,3
1624485355.3170002,-46.387,-401.855,-49.805,-54.199,3
1624485355.321,-32.227,-686.035,-36.133,-31.738000000000003,3
1624485355.325,-17.578,-355.469,-17.09,-12.695,3
1624485355.329,-33.691,214.355,-19.043,-37.598,3
1624485355.333,-44.434,-158.203,-41.504,-59.082,3
1624485355.3370001,-24.901999999999997,-512.695,-42.968999999999994,-37.109,3
1624485355.34,-17.578,-268.555,-25.879,-12.207,3
1624485355.3439999,-34.668,24.901999999999997,-25.879,-33.691,3
