timestamps,TP9,AF7,AF8,TP10,Interest
1624491335.106,-23.926,-116.211,-6.348,-16.602,3
1624491335.11,-21.973000000000003,-230.957,-42.48,-6.348,3
1624491335.1139998,-27.344,-180.66400000000002,-33.203,-22.461,3
1624491335.1179998,-29.296999999999997,22.949,57.617,-33.203,3
1624491335.1220002,-14.16,-141.602,-53.711000000000006,-14.16,3
1624491335.1260002,-6.348,-363.281,-88.867,0.0,3
1624491335.13,-20.02,9.277000000000001,98.145,-13.672,3
1624491335.1339998,-22.461,124.023,49.805,-27.344,3
1624491335.1379998,-15.137,-186.523,-77.148,-17.578,3
1624491335.141,-10.742,-42.48,44.922,2.441,3
1624491335.145,-18.555,289.062,143.066,-2.93,3
1624491335.149,-25.879,124.512,40.527,-26.855,3
1624491335.1529999,-17.09,-187.012,-112.79299999999999,-22.949,3
1624491335.157,2.441,-312.012,-134.766,-2.441,3
1624491335.161,-0.977,-170.41,22.949,-12.695,3
1624491335.165,-18.555,-181.641,-93.262,-28.32,3
1624491335.169,-17.578,-695.801,-387.695,-22.461,3
1624491335.1729999,-9.277000000000001,-558.594,-188.477,0.488,3
1624491335.177,-11.23,107.91,128.418,6.348,3
1624491335.181,-22.949,-208.00799999999998,-124.023,-17.09,3
1624491335.184,-31.738000000000003,-304.199,-199.707,-32.715,3
1624491335.188,-26.366999999999997,72.75399999999999,43.945,-24.901999999999997,3
1624491335.1920002,-9.277000000000001,418.457,197.266,0.0,3
1624491335.196,-14.16,210.938,34.668,-9.277000000000001,3
1624491335.2,-22.461,-185.05900000000003,-105.95700000000001,-29.296999999999997,3
1624491335.204,-19.531,-228.516,-67.383,-19.043,3
1624491335.208,-13.184000000000001,5.371,88.37899999999999,-9.277000000000001,3
1624491335.2120001,-13.184000000000001,123.04700000000001,59.082,-15.137,3
1624491335.216,-30.761999999999997,-614.746,-309.082,-37.598,3
1624491335.22,-33.203,-543.457,-193.359,-48.34,3
1624491335.2229998,-19.043,286.133,145.50799999999998,-26.366999999999997,3
1624491335.2270002,-19.043,254.88299999999998,80.078,-20.508000000000003,3
1624491335.231,-36.133,-36.133,-53.711000000000006,-41.992,3
1624491335.235,-39.551,31.25,19.531,-52.246,3
1624491335.2389998,-22.461,211.426,95.215,-29.785,3
1624491335.2429998,-7.324,182.61700000000002,92.285,-5.859,3
1624491335.2470002,-20.508000000000003,18.066,43.457,-24.901999999999997,3
1624491335.2510002,-31.738000000000003,-217.773,-158.203,-51.27,3
1624491335.255,-13.672,-211.426,-165.52700000000002,-38.086,3
1624491335.2589998,28.32,-361.816,-158.691,16.602,3
1624491335.2629998,17.578,-513.184,-197.75400000000002,19.043,3
1624491335.266,-32.715,9.277000000000001,39.062,-41.016000000000005,3
1624491335.27,-35.645,-125.0,-123.535,-46.387,3
1624491335.274,-17.09,-261.719,-153.32,-13.672,3
1624491335.2779999,-22.461,23.926,52.246,-7.812,3
1624491335.282,-38.574,192.38299999999998,88.867,-33.691,3
1624491335.286,-31.738000000000003,-64.941,-104.492,-35.156,3
1624491335.29,-18.555,-113.281,-56.641000000000005,-9.277000000000001,3
1624491335.294,-16.113,189.94099999999997,115.723,5.371,3
1624491335.2979999,-21.973000000000003,-56.152,-109.375,-7.324,3
1624491335.302,-25.879,-431.152,-308.594,-27.344,3
1624491335.305,-6.348,-381.836,-136.23,-0.977,3
1624491335.309,1.465,95.70299999999999,127.441,13.672,3
1624491335.313,-13.184000000000001,308.105,145.996,-1.953,3
1624491335.3170002,-15.625,-196.28900000000002,-186.035,-18.066,3
1624491335.321,-12.695,-523.9259999999999,-242.188,-20.508000000000003,3
1624491335.325,0.0,200.195,184.082,7.324,3
1624491335.329,-4.883,361.816,115.234,-0.488,3
1624491335.333,-12.207,-223.63299999999998,-113.77,-23.926,3
1624491335.3370001,-15.137,-141.113,-13.672,-27.831999999999997,3
1624491335.341,-4.883,302.246,146.97299999999998,-8.789,3
1624491335.345,0.488,161.13299999999998,64.453,-4.883,3
1624491335.3479998,-16.113,-576.172,-295.89799999999997,-29.785,3
1624491335.3520002,-12.695,-729.492,-288.574,-25.391,3
1624491335.356,-0.488,143.066,143.066,-11.23,3
1624491335.36,2.93,376.465,143.066,-4.883,3
1624491335.3639998,-4.883,-158.691,-127.93,-12.695,3
1624491335.3679998,-18.066,-285.645,-148.438,-37.109,3
1624491335.3720002,-14.16,195.801,128.418,-35.156,3
1624491335.3760002,-10.742,283.203,118.652,-23.926,3
1624491335.38,-22.461,18.555,-6.348,-38.574,3
1624491335.3839998,-28.32,-5.371,16.602,-46.387,3
1624491335.3879998,-23.926,24.414,13.672,-34.668,3
1624491335.391,-11.719000000000001,-46.387,12.207,-11.719000000000001,3
1624491335.395,-6.348,-227.051,-105.469,5.371,3
1624491335.399,-21.484,-180.176,-127.93,-16.602,3
1624491335.4029999,-24.414,121.58200000000001,78.125,-32.227,3
1624491335.407,-7.324,-26.366999999999997,-16.602,-1.953,3
1624491335.411,2.93,-289.551,-82.52,24.414,3
1624491335.415,7.812,-8.789,55.176,14.648,3
1624491335.419,-20.508000000000003,170.898,64.453,-27.831999999999997,3
1624491335.4229999,-39.551,-144.531,-51.27,-42.48,3
1624491335.427,-30.761999999999997,-161.13299999999998,-30.761999999999997,-21.484,3
1624491335.43,-48.34,150.879,92.285,-49.805,3
1624491335.434,-53.711000000000006,-1.465,8.301,-74.219,3
1624491335.438,-37.598,-474.121,-167.48,-57.129,3
1624491335.4420002,-30.273000000000003,-363.281,-37.598,-46.387,3
1624491335.446,-45.41,-49.805,13.672,-53.711000000000006,3
1624491335.45,-63.965,-156.738,-143.555,-79.102,3
1624491335.454,-62.988,-322.754,-126.465,-86.914,3
1624491335.458,-44.434,-276.855,-21.484,-56.641000000000005,3
1624491335.4620001,-42.968999999999994,55.663999999999994,105.469,-51.27,3
1624491335.466,-53.711000000000006,-13.184000000000001,-14.16,-72.266,3
1624491335.47,-54.688,-164.551,-99.12100000000001,-78.125,3
1624491335.4729998,-45.41,167.96900000000002,115.234,-54.688,3
1624491335.4770002,-36.621,435.059,183.59400000000002,-31.738000000000003,3
1624491335.481,-41.504,58.105,-37.598,-50.781000000000006,3
1624491335.485,-41.016000000000005,-451.66,-284.18,-62.988,3
1624491335.4889998,-26.855,-215.332,-73.242,-40.039,3
1624491335.4929998,-15.625,331.055,191.40599999999998,-17.578,3
1624491335.4970002,-32.715,36.133,-58.593999999999994,-34.668,3
1624491335.5010002,-50.781000000000006,-766.602,-407.715,-54.688,3
1624491335.505,-36.133,-444.824,-124.512,-36.133,3
1624491335.5089998,-18.066,331.543,198.73,-18.066,3
1624491335.5129998,-24.901999999999997,122.559,14.648,-30.761999999999997,3
1624491335.516,-28.32,-184.082,-120.605,-36.621,3
1624491335.52,-20.508000000000003,46.387,31.738000000000003,-28.809,3
1624491335.524,-5.859,338.86699999999996,157.715,-0.977,3
1624491335.5279999,-14.648,132.812,4.883,-11.23,3
1624491335.532,-34.18,-361.32800000000003,-255.859,-49.316,3
1624491335.536,-32.227,-306.152,-146.484,-52.246,3
1624491335.54,-13.184000000000001,184.082,124.512,-28.809,3
1624491335.544,-4.395,-203.125,-115.234,-5.371,3
1624491335.5479999,-16.113,-596.191,-263.184,-27.344,3
1624491335.552,-26.855,-236.81599999999997,-139.16,-47.363,3
1624491335.555,-23.438000000000002,-130.371,-99.12100000000001,-33.203,3
1624491335.559,-19.531,-41.992,54.199,-13.184000000000001,3
1624491335.563,-29.296999999999997,-21.484,38.574,-20.02,3
1624491335.5670002,-38.574,81.543,40.039,-48.828,3
1624491335.571,-39.551,-3.418,23.926,-53.223,3
1624491335.575,-23.926,-148.438,21.973000000000003,-26.366999999999997,3
1624491335.579,-19.043,-220.703,-40.039,-24.414,3
1624491335.583,-25.391,-154.297,-107.42200000000001,-49.805,3
1624491335.5870001,-19.531,-168.457,-111.32799999999999,-51.27,3
1624491335.591,-9.277000000000001,-478.027,-153.809,-22.461,3
1624491335.595,-10.254000000000001,-101.074,43.945,-15.137,3
1624491335.5979998,-25.879,217.773,124.023,-40.527,3
1624491335.6020002,-26.855,-147.461,-99.12100000000001,-48.34,3
1624491335.606,-3.906,-68.359,-54.688,-20.508000000000003,3
1624491335.61,-8.789,349.121,179.688,-8.789,3
1624491335.6139998,-22.949,175.78099999999998,50.293,-23.926,3
1624491335.6179998,-17.09,-272.949,-152.344,-34.18,3
1624491335.6220002,-9.277000000000001,-148.438,-11.719000000000001,-14.648,3
1624491335.6260002,-3.418,96.68,121.094,8.301,3
1624491335.63,-4.883,-41.016000000000005,-30.761999999999997,-0.977,3
1624491335.6339998,-9.277000000000001,-649.9019999999999,-381.348,-16.602,3
1624491335.637,0.0,-675.7810000000001,-264.16,-10.254000000000001,3
1624491335.641,9.277000000000001,274.902,199.707,12.207,3
1624491335.645,0.488,197.75400000000002,63.965,12.207,3
1624491335.649,-15.137,-248.535,-190.43,-24.414,3
1624491335.6529999,-20.996,-65.918,-38.086,-31.25,3
1624491335.657,-12.695,361.816,177.734,-6.348,3
1624491335.661,-8.789,344.23800000000006,76.172,0.977,3
1624491335.665,-20.996,-13.672,-56.152,-21.484,3
1624491335.669,-22.949,-58.593999999999994,-32.715,-33.691,3
1624491335.6729999,-12.695,2.93,32.715,-16.113,3
1624491335.677,-18.555,-8.301,5.859,-8.301,3
1624491335.68,-36.133,-524.414,-219.238,-20.996,3
1624491335.684,-43.945,-332.52,-69.336,-39.062,3
1624491335.688,-31.25,258.301,133.30100000000002,-30.761999999999997,3
1624491335.6920002,-23.438000000000002,123.535,29.296999999999997,-9.766,3
1624491335.696,-39.062,-20.508000000000003,-48.828,-20.996,3
1624491335.7,-44.922,99.609,39.551,-41.016000000000005,3
1624491335.704,-30.273000000000003,196.28900000000002,73.242,-35.156,3
1624491335.708,-23.438000000000002,100.586,52.733999999999995,-18.555,3
1624491335.7120001,-26.366999999999997,91.79700000000001,69.824,-14.16,3
1624491335.716,-32.227,113.77,-5.371,-30.273000000000003,3
1624491335.72,-42.968999999999994,-127.93,-167.96900000000002,-41.992,3
1624491335.7229998,-26.855,-442.871,-259.277,-9.766,3
1624491335.7270002,-20.02,-412.598,-125.488,2.93,3
1624491335.731,-32.227,-73.242,-21.484,-31.738000000000003,3
1624491335.735,-35.645,-56.152,-74.707,-52.246,3
1624491335.7389998,-27.831999999999997,-106.445,-38.086,-35.156,3
1624491335.7429998,-16.113,91.309,42.968999999999994,-12.207,3
1624491335.7470002,-29.785,250.488,124.512,-35.156,3
1624491335.7510002,-37.109,-94.727,-67.87100000000001,-52.246,3
1624491335.755,-23.438000000000002,-185.05900000000003,-68.848,-33.203,3
1624491335.7589998,-18.066,214.355,146.97299999999998,-14.648,3
1624491335.762,-27.344,240.234,60.059,-30.761999999999997,3
1624491335.766,-29.296999999999997,-338.86699999999996,-292.48,-56.641000000000005,3
1624491335.77,-23.926,-765.625,-336.426,-44.434,3
1624491335.774,-14.648,-211.91400000000002,43.945,-21.484,3
1624491335.7779999,-23.438000000000002,352.539,157.715,-29.296999999999997,3
1624491335.782,-38.086,-66.406,-130.859,-54.199,3
1624491335.786,-29.785,-459.473,-310.547,-51.27,3
1624491335.79,-24.901999999999997,-67.87100000000001,-32.227,-27.344,3
1624491335.794,-18.066,360.84,164.062,-12.695,3
1624491335.7979999,-29.785,-1.465,-53.223,-31.25,3
1624491335.802,-46.875,-289.551,-179.199,-51.758,3
1624491335.805,-38.574,50.781000000000006,56.152,-39.062,3
1624491335.809,-32.227,313.965,140.625,-29.785,3
1624491335.813,-39.062,-335.449,-179.199,-44.434,3
1624491335.8170002,-40.039,-650.391,-305.664,-53.711000000000006,3
1624491335.821,-35.156,-82.52,-20.996,-45.898,3
1624491335.825,-28.809,184.082,116.699,-36.133,3
1624491335.829,-25.879,-137.695,-43.945,-29.785,3
1624491335.833,-28.32,-560.547,-262.207,-39.062,3
1624491335.8370001,-23.926,-291.504,-127.441,-42.48,3
1624491335.841,-12.207,41.992,73.73,-17.578,3
1624491335.845,-12.695,-102.051,-8.301,-17.09,3
1624491335.8479998,-21.973000000000003,-125.488,-29.785,-43.457,3
1624491335.8520002,-20.508000000000003,27.344,26.366999999999997,-45.898,3
1624491335.856,-10.254000000000001,23.926,41.016000000000005,-25.879,3
1624491335.86,-12.695,-237.793,-103.516,-14.648,3
1624491335.8639998,-27.344,-246.09400000000002,-119.62899999999999,-31.738000000000003,3
1624491335.8679998,-30.761999999999997,17.578,17.578,-45.898,3
1624491335.8720002,-20.996,-96.191,-22.949,-22.949,3
1624491335.8760002,-9.277000000000001,-342.773,-106.934,1.465,3
1624491335.88,-17.09,-59.082,33.691,-16.602,3
1624491335.8839998,-17.09,91.79700000000001,56.641000000000005,-33.203,3
1624491335.887,-20.02,-153.32,-65.43,-31.25,3
1624491335.891,-21.484,-44.434,23.438000000000002,-15.625,3
1624491335.895,-23.926,236.81599999999997,122.07,-19.043,3
1624491335.899,-29.296999999999997,-4.395,-41.992,-40.527,3
1624491335.9029999,-23.926,-501.95300000000003,-225.09799999999998,-39.062,3
1624491335.907,-19.531,-504.88300000000004,-154.297,-18.555,3
1624491335.911,-20.508000000000003,0.488,77.637,-6.836,3
1624491335.915,-28.32,163.086,95.215,-27.831999999999997,3
1624491335.919,-20.996,-557.129,-309.082,-39.551,3
1624491335.9229999,-13.184000000000001,-648.438,-229.98,-20.02,3
1624491335.927,-16.602,12.207,126.465,-14.648,3
1624491335.93,-31.738000000000003,-188.477,-92.285,-33.203,3
1624491335.934,-41.992,-349.60900000000004,-214.355,-46.387,3
1624491335.938,-33.203,-84.961,-25.391,-34.18,3
1624491335.9420002,-15.137,353.51599999999996,190.918,-5.371,3
1624491335.946,-14.648,219.727,57.129,-3.906,3
1624491335.95,-24.901999999999997,-254.88299999999998,-214.84400000000002,-27.344,3
1624491335.954,-16.113,-391.11300000000006,-257.812,-18.555,3
1624491335.958,-7.324,-144.043,-34.668,-1.465,3
1624491335.9620001,-11.719000000000001,-104.98,-25.391,-6.348,3
1624491335.966,-16.113,-648.438,-269.531,-23.926,3
1624491335.9689999,-9.277000000000001,-337.89099999999996,-35.156,-30.761999999999997,3
1624491335.9729998,-4.395,277.832,171.387,-10.742,3
1624491335.9770002,-14.16,122.559,40.527,-13.672,3
1624491335.981,-23.926,-57.617,-23.926,-34.668,3
1624491335.985,-31.25,36.621,34.18,-44.434,3
1624491335.9889998,-21.484,173.828,82.031,-26.855,3
1624491335.9929998,-16.602,107.42200000000001,96.68,-8.301,3
1624491335.9970002,-29.296999999999997,-25.391,-0.488,-29.785,3
1624491336.0010002,-41.016000000000005,-262.695,-217.285,-45.41,3
1624491336.005,-33.203,-239.74599999999998,-187.988,-37.598,3
1624491336.0089998,-9.766,-414.06199999999995,-217.773,-15.625,3
1624491336.012,-30.761999999999997,-622.07,-223.63299999999998,-30.761999999999997,3
1624491336.016,-47.852,-231.445,-110.84,-53.223,3
1624491336.02,-39.551,-282.22700000000003,-201.66,-42.968999999999994,3
1624491336.024,-34.668,-100.586,9.277000000000001,-24.901999999999997,3
1624491336.0279999,-36.621,213.37900000000002,146.97299999999998,-20.508000000000003,3
1624491336.032,-45.898,145.02,61.523,-43.457,3
1624491336.036,-48.34,-37.598,-18.066,-56.152,3
1624491336.04,-36.133,0.488,18.066,-37.598,3
1624491336.044,-25.879,304.688,133.789,-20.996,3
1624491336.0479999,-33.203,51.758,-40.527,-29.785,3
1624491336.052,-35.645,-403.809,-284.668,-35.156,3
1624491336.055,-26.855,-613.281,-246.09400000000002,-14.16,3
1624491336.059,-11.719000000000001,-66.406,75.195,3.418,3
1624491336.063,-13.184000000000001,382.81199999999995,148.438,-11.23,3
1624491336.0670002,-19.043,-92.285,-147.461,-32.715,3
1624491336.071,-11.719000000000001,-370.11699999999996,-274.414,-27.344,3
1624491336.075,-4.883,50.293,23.438000000000002,-13.184000000000001,3
1624491336.079,-13.184000000000001,333.00800000000004,116.699,-17.09,3
1624491336.083,-19.043,-108.887,-112.305,-34.18,3
1624491336.0870001,-9.277000000000001,-248.535,-88.867,-40.527,3
1624491336.091,4.883,185.547,112.305,-15.625,3
1624491336.0939999,-4.883,191.40599999999998,103.027,-17.09,3
1624491336.0979998,-15.625,-546.875,-276.367,-35.645,3
1624491336.1020002,-16.602,-717.285,-305.176,-42.48,3
1624491336.106,-7.324,48.828,118.164,-32.715,3
1624491336.11,5.859,327.637,157.227,-11.719000000000001,3
1624491336.1139998,-12.207,-172.363,-121.094,-24.414,3
1624491336.1179998,-24.901999999999997,-396.973,-201.172,-40.527,3
1624491336.1220002,-25.391,156.738,96.191,-33.691,3
1624491336.1260002,-22.461,282.715,124.023,-13.672,3
1624491336.13,-29.296999999999997,-128.418,-108.887,-19.043,3
1624491336.1339998,-33.203,-135.74200000000002,-101.56200000000001,-31.738000000000003,3
1624491336.137,-31.25,141.113,78.125,-27.344,3
1624491336.141,-18.555,25.879,17.09,-6.348,3
1624491336.145,-20.508000000000003,-501.465,-170.41,-2.93,3
1624491336.149,-35.645,-334.961,-57.617,-28.809,3
1624491336.1529999,-23.438000000000002,207.03099999999998,86.914,-26.855,3
1624491336.157,-12.207,125.488,45.41,2.93,3
1624491336.161,-17.578,113.281,72.266,2.93,3
1624491336.165,-24.414,153.32,54.688,-20.996,3
