timestamps,TP9,AF7,AF8,TP10,Interest
1624394853.03,351.56199999999995,30.761999999999997,-247.07,411.621,3
1624394853.034,-786.133,-831.543,-27.344,-1000.0,3
1624394853.0379999,334.473,326.66,-558.105,-760.2539999999999,3
1624394853.042,-1000.0,-1000.0,-774.9019999999999,892.09,3
1624394853.046,-458.496,-765.137,-409.668,930.176,3
1624394853.05,-951.172,879.883,-70.801,-762.695,3
1624394853.054,866.211,906.25,-411.13300000000004,-1000.0,3
1624394853.0579998,-782.227,-804.199,-765.137,686.035,3
1624394853.062,-973.633,-1000.0,-590.332,-996.0939999999999,3
1624394853.065,758.301,678.2230000000001,-84.961,-689.453,3
1624394853.069,907.227,909.18,-146.97299999999998,-1000.0,3
1624394853.073,-749.023,-720.703,-749.512,520.996,3
1624394853.0770001,-1000.0,-1000.0,-759.7660000000001,-854.0039999999999,3
1624394853.081,620.117,471.68,-233.887,-231.445,3
1624394853.085,-846.191,-851.562,-9.766,-1000.0,3
1624394853.089,-354.49199999999996,-293.457,-593.75,-223.63299999999998,3
1624394853.093,-1000.0,-1000.0,-749.512,-886.7189999999999,3
1624394853.0970001,222.65599999999998,-211.426,-302.246,625.488,3
1624394853.101,-791.5039999999999,-888.184,27.344,-992.188,3
1624394853.1039999,575.684,557.129,-487.793,-861.328,3
1624394853.1079998,-991.211,-1000.0,-788.574,822.2660000000001,3
1624394853.1120002,-708.9839999999999,-875.977,-419.92199999999997,991.699,3
1624394853.1160002,956.055,792.9689999999999,113.77,-705.566,3
1624394853.12,956.055,988.2810000000001,-212.40200000000002,-1000.0,3
1624394853.1239998,-692.8710000000001,-720.215,-769.043,666.992,3
1624394853.1279998,-1000.0,-1000.0,-621.094,-942.383,3
1624394853.1320002,679.199,679.688,-104.492,-583.496,3
1624394853.1360002,-979.98,-980.957,-163.086,-1000.0,3
1624394853.14,-716.309,-643.066,-763.184,347.656,3
1624394853.144,-1000.0,-1000.0,-731.934,-811.035,3
1624394853.147,584.4730000000001,360.352,-180.176,-21.484,3
1624394853.151,-813.965,-826.66,-57.129,-1000.0,3
