timestamps,TP9,AF7,AF8,TP10,Interest
1624492434.149,-28.809,-81.055,4.395,-26.366999999999997,4
1624492434.1529999,-41.992,-269.531,-134.27700000000002,-31.738000000000003,4
1624492434.157,-31.25,-346.68,-199.707,-39.551,4
1624492434.161,-27.344,-395.02,-129.88299999999998,-31.25,4
1624492434.164,-26.366999999999997,-158.691,13.672,-18.555,4
1624492434.168,-34.18,9.277000000000001,21.484,-29.296999999999997,4
1624492434.1720002,-33.203,23.926,50.781000000000006,-33.691,4
1624492434.176,-16.602,-376.465,-114.258,-13.184000000000001,4
1624492434.18,-16.602,-563.965,-173.34,-8.789,4
1624492434.184,-26.855,122.559,125.0,-28.32,4
1624492434.188,-29.296999999999997,-31.738000000000003,2.441,-36.133,4
1624492434.1920002,-21.973000000000003,-261.23,-99.12100000000001,-24.901999999999997,4
1624492434.196,-16.602,14.648,49.316,-15.625,4
1624492434.2,-20.02,-102.051,-20.508000000000003,-20.02,4
1624492434.2029998,-26.855,-397.461,-221.19099999999997,-29.296999999999997,4
1624492434.207,-25.391,-716.797,-253.90599999999998,-22.461,4
1624492434.211,-15.137,-307.617,23.438000000000002,-13.184000000000001,4
1624492434.215,-15.625,377.441,204.102,-18.555,4
1624492434.2189999,-25.879,-5.859,-39.551,-17.578,4
1624492434.2229998,-24.414,-371.094,-140.137,-21.484,4
1624492434.2270002,-15.137,64.453,113.77,-15.137,4
1624492434.231,-18.555,376.95300000000003,181.15200000000002,-4.395,4
1624492434.235,-26.366999999999997,-86.426,-109.863,-19.531,4
1624492434.2389998,-34.668,-318.35900000000004,-170.41,-28.809,4
1624492434.2429998,-34.668,34.668,75.684,-23.438000000000002,4
1624492434.246,-35.645,29.296999999999997,52.733999999999995,-21.973000000000003,4
1624492434.25,-39.551,-536.621,-240.234,-26.366999999999997,4
1624492434.254,-45.898,-784.668,-349.121,-37.598,4
1624492434.258,-45.898,-64.453,34.668,-46.875,4
1624492434.262,-39.062,261.719,146.97299999999998,-39.551,4
1624492434.266,-41.504,-107.42200000000001,-28.809,-33.203,4
1624492434.27,-45.898,-213.37900000000002,-34.668,-42.968999999999994,4
1624492434.274,-51.758,40.527,69.824,-48.34,4
1624492434.2779999,-46.387,222.168,125.488,-37.109,4
1624492434.282,-47.363,-58.105,-9.277000000000001,-29.296999999999997,4
1624492434.286,-50.293,-326.172,-145.02,-34.668,4
