timestamps,TP9,AF7,AF8,TP10,Interest
1624482212.823,-30.273000000000003,-126.465,-27.831999999999997,-30.761999999999997,3
1624482212.8270001,-28.809,-354.49199999999996,-23.926,-31.738000000000003,3
1624482212.83,-20.02,-384.277,-23.926,0.977,3
1624482212.8339999,-14.16,-440.918,-22.461,17.09,3
1624482212.8379998,-22.461,-368.164,-20.508000000000003,-26.366999999999997,3
1624482212.842,-30.273000000000003,-253.90599999999998,-24.414,-54.199,3
1624482212.846,-16.602,-143.555,-20.508000000000003,-13.184000000000001,3
1624482212.85,-12.695,113.77,-18.066,10.742,3
1624482212.8539999,-27.831999999999997,126.465,-19.043,-27.344,3
1624482212.8579998,-34.668,-132.812,-12.695,-57.129,3
1624482212.8620002,-21.484,-347.656,-15.625,-34.18,3
1624482212.8660002,-16.602,-117.676,-22.949,0.977,3
1624482212.87,-33.203,144.531,-16.602,-23.926,3
1624482212.873,-46.387,-306.152,-11.719000000000001,-78.125,3
1624482212.877,-43.945,-863.2810000000001,-18.555,-68.848,3
1624482212.881,-41.504,-569.8240000000001,-18.555,-30.761999999999997,3
1624482212.885,-54.688,146.97299999999998,-13.672,-47.363,3
1624482212.889,-87.891,-107.42200000000001,-4.395,-107.91,3
1624482212.893,-106.934,-449.219,12.207,-128.418,3
1624482212.897,-94.238,-257.812,22.461,-87.891,3
1624482212.901,-112.305,158.203,18.555,-86.914,3
1624482212.905,-160.156,-66.406,27.831999999999997,-159.668,3
1624482212.909,-184.57,-570.312,29.785,-204.59,3
1624482212.9129999,-176.75799999999998,-205.56599999999997,24.414,-171.875,3
1624482212.9160001,-182.12900000000002,220.703,24.901999999999997,-157.715,3
1624482212.92,-224.12099999999998,-302.246,32.227,-217.285,3
1624482212.924,-257.812,-780.762,46.387,-270.996,3
1624482212.928,-258.789,-264.64799999999997,46.387,-260.742,3
1624482212.9320002,-246.582,226.562,47.363,-221.19099999999997,3
1624482212.936,-254.395,-40.039,54.199,-235.352,3
1624482212.94,-249.512,-394.531,52.733999999999995,-264.64799999999997,3
1624482212.944,-236.81599999999997,-106.445,46.875,-247.07,3
1624482212.948,-210.938,216.797,35.645,-188.965,3
1624482212.9520001,-192.87099999999998,60.059,31.25,-168.945,3
1624482212.955,-186.523,-382.81199999999995,19.531,-201.66,3
1624482212.9589999,-161.621,-386.719,12.207,-187.012,3
1624482212.9629998,-135.254,61.523,9.766,-121.58200000000001,3
1624482212.967,-117.676,-36.621,8.301,-85.449,3
1624482212.971,-118.164,-298.828,4.883,-119.141,3
1624482212.975,-94.238,-71.777,-0.977,-109.863,3
1624482212.9789999,-60.059,132.812,-5.859,-52.733999999999995,3
1624482212.9829998,-46.875,-134.27700000000002,-15.137,-19.531,3
1624482212.9870002,-42.48,-243.65200000000002,-20.996,-24.901999999999997,3
1624482212.9910002,-46.875,-8.789,-25.391,-56.152,3
1624482212.995,-29.296999999999997,-46.387,-33.691,-26.855,3
1624482212.998,-6.348,62.5,-45.41,26.855,3
1624482213.002,-4.395,243.65200000000002,-41.504,20.996,3
1624482213.006,6.836,36.133,-41.504,0.488,3
1624482213.01,10.254000000000001,-316.406,-46.875,-2.441,3
1624482213.014,24.414,-263.672,-47.852,41.504,3
1624482213.018,43.457,-133.30100000000002,-50.781000000000006,59.57,3
1624482213.022,39.551,-126.95299999999999,-49.805,23.926,3
1624482213.026,42.48,-360.84,-50.293,24.901999999999997,3
1624482213.03,55.176,-627.441,-50.293,68.359,3
1624482213.034,55.663999999999994,82.52,-50.781000000000006,85.449,3
1624482213.0379999,49.316,268.555,-57.129,40.039,3
1624482213.0410001,46.387,-255.37099999999998,-58.593999999999994,15.137,3
1624482213.045,51.758,-188.477,-57.129,43.457,3
1624482213.049,62.988,71.289,-51.758,78.125,3
1624482213.053,59.082,12.695,-50.781000000000006,64.941,3
