timestamps,TP9,AF7,AF8,TP10,Interest
1624484693.7189999,-23.438000000000002,-112.305,-32.227,-37.109,4
1624484693.7229998,-20.508000000000003,-432.61699999999996,-54.688,-11.23,4
1624484693.7270002,-17.09,-242.676,-32.227,1.953,4
1624484693.731,-28.32,9.766,-37.598,-24.901999999999997,4
1624484693.734,-32.715,-363.77,-62.012,-48.34,4
1624484693.738,-32.715,-428.223,-40.039,-28.32,4
1624484693.742,-25.391,74.707,-20.508000000000003,-1.953,4
1624484693.746,-26.855,309.57,-38.574,-19.531,4
1624484693.75,-36.621,-160.645,-59.57,-47.363,4
1624484693.754,-32.715,-272.461,-47.852,-42.968999999999994,4
1624484693.758,-15.625,196.77700000000002,-24.901999999999997,-19.043,4
1624484693.762,-9.277000000000001,390.625,-27.344,-18.066,4
1624484693.766,-15.137,-135.74200000000002,-50.293,-29.785,4
1624484693.77,-21.973000000000003,-651.367,-56.641000000000005,-43.457,4
1624484693.7729998,-11.719000000000001,-212.40200000000002,-22.461,-22.949,4
1624484693.7770002,-5.859,371.094,-25.879,-3.906,4
1624484693.7810001,-26.366999999999997,-114.258,-72.266,-37.109,4
1624484693.785,-30.761999999999997,-754.395,-63.477,-48.828,4
1624484693.789,-15.137,-324.707,-10.254000000000001,-26.366999999999997,4
1624484693.793,-5.859,205.078,-19.531,-7.324,4
1624484693.7970002,-16.113,36.133,-42.48,-21.484,4
1624484693.801,-34.18,-278.32,-51.758,-54.688,4
1624484693.805,-29.296999999999997,-271.48400000000004,-44.922,-46.387,4
1624484693.809,-9.277000000000001,-37.109,-30.761999999999997,-19.531,4
1624484693.813,-17.578,-157.715,-53.711000000000006,-31.738000000000003,4
1624484693.816,-36.621,-579.59,-63.477,-53.711000000000006,4
1624484693.82,-31.25,-428.711,-44.434,-45.898,4
1624484693.824,-22.949,162.109,-25.391,-18.555,4
1624484693.8279998,-17.578,-217.285,-53.711000000000006,-2.441,4
1624484693.832,-12.207,-638.184,-52.733999999999995,-9.277000000000001,4
1624484693.836,-26.366999999999997,-52.733999999999995,-20.508000000000003,-28.809,4
1624484693.84,-36.133,158.203,-17.09,-29.785,4
1624484693.8439999,-31.25,85.93799999999999,-34.18,-16.113,4
1624484693.8479998,-37.598,-131.34799999999998,-34.668,-30.761999999999997,4
1624484693.8520002,-47.363,-107.91,-16.602,-63.965,4
1624484693.856,-42.48,-3.906,-28.809,-52.733999999999995,4
1624484693.859,-34.18,12.207,-41.992,-35.645,4
1624484693.863,-47.363,-217.285,-52.246,-63.477,4
1624484693.867,-52.246,-315.43,-38.086,-81.055,4
1624484693.871,-40.039,-289.551,-47.363,-64.941,4
1624484693.875,-29.785,-421.875,-40.527,-41.992,4
1624484693.879,-34.18,-33.691,-16.113,-43.457,4
1624484693.883,-41.504,72.75399999999999,-41.992,-66.406,4
1624484693.887,-37.109,-216.30900000000003,-45.41,-65.918,4
1624484693.891,-21.484,1.953,-38.086,-29.785,4
1624484693.895,-14.16,412.598,-45.898,-18.555,4
